time,PT.Ox_Downstream.raw_adc_counts
2026-03-06 16:52:00.40131,352973891
2026-03-06 16:52:00.502464,351785276
2026-03-06 16:52:00.60349,350595989
2026-03-06 16:52:00.703979,349426348
2026-03-06 16:52:00.805684,348261075
2026-03-06 16:52:00.905961,347113829
2026-03-06 16:52:01.007086,345968147
2026-03-06 16:52:01.107926,344839088
2026-03-06 16:52:01.209002,343722480
2026-03-06 16:52:01.309758,342624275
2026-03-06 16:52:01.411451,341544562
2026-03-06 16:52:01.511984,340481098
2026-03-06 16:52:01.613079,339430319
2026-03-06 16:52:01.714037,338397090
2026-03-06 16:52:01.815364,337386022
2026-03-06 16:52:01.916724,336395069
2026-03-06 16:52:02.017272,335433518
2026-03-06 16:52:02.118211,334490128
2026-03-06 16:52:02.219429,333561975
2026-03-06 16:52:02.319671,332672576
2026-03-06 16:52:02.420994,331797082
2026-03-06 16:52:02.521989,330949113
2026-03-06 16:52:02.623458,330124396
2026-03-06 16:52:02.724261,329336797
2026-03-06 16:52:02.824883,328577951
2026-03-06 16:52:02.925681,327835860
2026-03-06 16:52:03.026419,327136071
2026-03-06 16:52:03.127767,326455381
2026-03-06 16:52:03.228441,325809139
2026-03-06 16:52:03.330153,325203977
2026-03-06 16:52:03.430744,324621887
2026-03-06 16:52:03.531905,324067502
2026-03-06 16:52:03.632603,323557876
2026-03-06 16:52:03.733574,323075845
2026-03-06 16:52:03.834684,322618237
2026-03-06 16:52:03.935763,322202988
2026-03-06 16:52:04.036651,321827575
2026-03-06 16:52:04.1375,321481295
2026-03-06 16:52:04.237933,321179517
2026-03-06 16:52:04.33919,320904185
2026-03-06 16:52:04.439897,320663446
2026-03-06 16:52:04.540966,320462047
2026-03-06 16:52:04.641459,320297487
2026-03-06 16:52:04.742402,320168600
2026-03-06 16:52:04.844138,320078332
2026-03-06 16:52:04.945227,320023978
2026-03-06 16:52:05.045986,319997440
2026-03-06 16:52:05.147264,320019541
2026-03-06 16:52:05.247971,320072062
2026-03-06 16:52:05.349003,320162558
2026-03-06 16:52:05.45037,320286381
2026-03-06 16:52:05.55085,320448245
2026-03-06 16:52:05.651387,320656469
2026-03-06 16:52:05.755515,320891899
2026-03-06 16:52:05.856536,321171192
2026-03-06 16:52:05.957218,321474189
2026-03-06 16:52:06.057925,321815535
2026-03-06 16:52:06.15826,322198891
2026-03-06 16:52:06.25924,322607946
2026-03-06 16:52:06.359856,323059783
2026-03-06 16:52:06.461252,323536817
2026-03-06 16:52:06.561811,324049329
2026-03-06 16:52:06.662789,324599264
2026-03-06 16:52:06.763401,325183419
2026-03-06 16:52:06.864403,325787209
2026-03-06 16:52:06.964938,326433394
2026-03-06 16:52:07.065884,327105740
2026-03-06 16:52:07.166864,327810214
2026-03-06 16:52:07.267147,328542211
2026-03-06 16:52:07.368472,329304185
2026-03-06 16:52:07.468945,330094743
2026-03-06 16:52:07.569978,330909151
2026-03-06 16:52:07.67074,331756051
2026-03-06 16:52:07.771853,332623265
2026-03-06 16:52:07.872691,333520203
2026-03-06 16:52:07.974248,334440902
2026-03-06 16:52:08.075426,335389087
2026-03-06 16:52:08.176276,336350794
2026-03-06 16:52:08.277514,337339802
2026-03-06 16:52:08.377777,338343266
2026-03-06 16:52:08.479198,339377838
2026-03-06 16:52:08.579779,340422327
2026-03-06 16:52:08.680825,341487598
2026-03-06 16:52:08.781861,342571849
2026-03-06 16:52:08.882778,343669311
2026-03-06 16:52:08.983857,344781776
2026-03-06 16:52:09.084812,345919145
2026-03-06 16:52:09.186189,347061116
2026-03-06 16:52:09.287348,348208896
2026-03-06 16:52:09.388054,349371892
2026-03-06 16:52:09.488988,350551185
2026-03-06 16:52:09.590097,351728930
2026-03-06 16:52:09.690795,352917431
2026-03-06 16:52:09.792008,354117031
2026-03-06 16:52:09.893166,355312283
2026-03-06 16:52:09.993787,356521627
2026-03-06 16:52:10.094795,357724080
2026-03-06 16:52:10.195507,358930795
2026-03-06 16:52:10.296512,360145929
2026-03-06 16:52:10.397399,361361152
2026-03-06 16:52:10.498699,362577251
2026-03-06 16:52:10.59993,363775927
2026-03-06 16:52:10.701124,364991775
2026-03-06 16:52:10.802746,366190695
2026-03-06 16:52:10.904122,367391831
2026-03-06 16:52:11.004734,368571033
2026-03-06 16:52:11.106201,369756421
2026-03-06 16:52:11.207159,370927356
2026-03-06 16:52:11.307854,372093853
2026-03-06 16:52:11.408922,373236154
2026-03-06 16:52:11.510038,374371410
2026-03-06 16:52:11.610982,375504839
2026-03-06 16:52:11.71167,376606320
2026-03-06 16:52:11.812287,377708067
2026-03-06 16:52:11.913429,378783975
2026-03-06 16:52:12.014222,379839307
2026-03-06 16:52:12.115065,380873295
2026-03-06 16:52:12.215629,381899230
2026-03-06 16:52:12.316702,382907662
2026-03-06 16:52:12.417671,383887284
2026-03-06 16:52:12.518356,384847998
2026-03-06 16:52:12.619364,385785372
2026-03-06 16:52:12.719962,386691573
2026-03-06 16:52:12.820428,387585980
2026-03-06 16:52:12.92158,388444580
2026-03-06 16:52:13.022582,389283010
2026-03-06 16:52:13.123275,390094309
2026-03-06 16:52:13.223876,390873763
2026-03-06 16:52:13.32452,391627487
2026-03-06 16:52:13.426147,392363735
2026-03-06 16:52:13.526906,393060951
2026-03-06 16:52:13.628245,393718740
2026-03-06 16:52:13.729225,394363836
2026-03-06 16:52:13.830094,394963648
2026-03-06 16:52:13.930963,395538244
2026-03-06 16:52:14.032048,396078307
2026-03-06 16:52:14.132681,396578740
2026-03-06 16:52:14.234169,397060974
2026-03-06 16:52:14.335262,397500935
2026-03-06 16:52:14.436349,397899045
2026-03-06 16:52:14.536969,398275963
2026-03-06 16:52:14.637372,398608796
2026-03-06 16:52:14.738262,398907012
2026-03-06 16:52:14.839918,399171598
2026-03-06 16:52:14.940721,399395980
2026-03-06 16:52:15.042542,399585202
2026-03-06 16:52:15.142892,399744747
2026-03-06 16:52:15.243811,399862038
2026-03-06 16:52:15.344132,399939889
2026-03-06 16:52:15.445012,399993604
2026-03-06 16:52:15.545686,399996944
2026-03-06 16:52:15.646749,399969074
2026-03-06 16:52:15.747172,399903438
2026-03-06 16:52:15.848584,399810483
2026-03-06 16:52:15.949117,399669879
2026-03-06 16:52:16.05041,399497490
2026-03-06 16:52:16.151406,399288687
2026-03-06 16:52:16.252427,399035629
2026-03-06 16:52:16.353658,398760505
2026-03-06 16:52:16.454395,398443033
2026-03-06 16:52:16.556128,398081771
2026-03-06 16:52:16.657371,397695402
2026-03-06 16:52:16.75736,397273268
2026-03-06 16:52:16.85813,396823742
2026-03-06 16:52:16.95904,396336710
2026-03-06 16:52:17.059974,395814289
2026-03-06 16:52:17.160873,395256348
2026-03-06 16:52:17.261255,394666731
2026-03-06 16:52:17.362654,394043670
2026-03-06 16:52:17.46348,393391152
2026-03-06 16:52:17.564743,392712186
2026-03-06 16:52:17.665192,391999866
2026-03-06 16:52:17.766928,391257326
2026-03-06 16:52:17.867822,390483640
2026-03-06 16:52:17.968263,389691120
2026-03-06 16:52:18.069402,388861571
