time,PT.Ox_Upstream.status
2026-03-06 14:32:45.69755,0
2026-03-06 14:32:45.798601,0
2026-03-06 14:32:45.89935,0
2026-03-06 14:32:46.000367,0
2026-03-06 14:32:46.100667,0
2026-03-06 14:32:46.201796,0
2026-03-06 14:32:46.302623,0
2026-03-06 14:32:46.403451,0
2026-03-06 14:32:46.504376,0
2026-03-06 14:32:46.60546,0
2026-03-06 14:32:46.706448,0
2026-03-06 14:32:46.806889,0
2026-03-06 14:32:46.907651,0
2026-03-06 14:32:47.008556,0
2026-03-06 14:32:47.109813,0
2026-03-06 14:32:47.210363,0
2026-03-06 14:32:47.311004,0
2026-03-06 14:32:47.412117,0
2026-03-06 14:32:47.51263,0
2026-03-06 14:32:47.613407,0
2026-03-06 14:32:47.714333,0
2026-03-06 14:32:47.815297,0
2026-03-06 14:32:47.916023,0
2026-03-06 14:32:48.016933,0
2026-03-06 14:32:48.117752,0
2026-03-06 14:32:48.218721,0
2026-03-06 14:32:48.319695,0
2026-03-06 14:32:48.420152,0
2026-03-06 14:32:48.521883,0
2026-03-06 14:32:48.622309,0
2026-03-06 14:32:48.72308,0
2026-03-06 14:32:48.824436,0
2026-03-06 14:32:48.925624,0
2026-03-06 14:32:49.026403,0
2026-03-06 14:32:49.127395,0
2026-03-06 14:32:49.228431,0
2026-03-06 14:32:49.329209,0
2026-03-06 14:32:49.429807,0
2026-03-06 14:32:49.530652,0
2026-03-06 14:32:49.631812,0
2026-03-06 14:32:49.733099,0
2026-03-06 14:32:49.834231,0
2026-03-06 14:32:49.935401,0
2026-03-06 14:32:50.035963,0
2026-03-06 14:32:50.136837,0
2026-03-06 14:32:50.237961,0
2026-03-06 14:32:50.339109,0
2026-03-06 14:32:50.439934,0
2026-03-06 14:32:50.540937,0
2026-03-06 14:32:50.641961,0
2026-03-06 14:32:50.742933,0
2026-03-06 14:32:50.843465,0
2026-03-06 14:32:50.9446,0
2026-03-06 14:32:51.045777,0
2026-03-06 14:32:51.146725,0
2026-03-06 14:32:51.247146,0
2026-03-06 14:32:51.348226,0
2026-03-06 14:32:51.449604,0
2026-03-06 14:32:51.550253,0
2026-03-06 14:32:51.651387,0
2026-03-06 14:32:51.752801,0
2026-03-06 14:32:51.853276,0
2026-03-06 14:32:51.953952,0
2026-03-06 14:32:52.05495,0
2026-03-06 14:32:52.156129,0
2026-03-06 14:32:52.256759,0
2026-03-06 14:32:52.358469,0
2026-03-06 14:32:52.459425,0
2026-03-06 14:32:52.560312,0
2026-03-06 14:32:52.661086,0
2026-03-06 14:32:52.761747,0
2026-03-06 14:32:52.863056,0
2026-03-06 14:32:52.96395,0
2026-03-06 14:32:53.065081,0
2026-03-06 14:32:53.166081,0
2026-03-06 14:32:53.26663,0
2026-03-06 14:32:53.367275,0
2026-03-06 14:32:53.468305,0
2026-03-06 14:32:53.569582,0
2026-03-06 14:32:53.670912,0
2026-03-06 14:32:53.771398,0
2026-03-06 14:32:53.872737,0
2026-03-06 14:32:53.973617,0
2026-03-06 14:32:54.074603,0
2026-03-06 14:32:54.175206,0
2026-03-06 14:32:54.275892,0
2026-03-06 14:32:54.377272,0
2026-03-06 14:32:54.478158,0
2026-03-06 14:32:54.57923,0
2026-03-06 14:32:54.680184,0
2026-03-06 14:32:54.781096,0
2026-03-06 14:32:54.881413,0
2026-03-06 14:32:54.982396,0
2026-03-06 14:32:55.083235,0
2026-03-06 14:32:55.183939,0
2026-03-06 14:32:55.284827,0
2026-03-06 14:32:55.385646,0
2026-03-06 14:32:55.486238,0
2026-03-06 14:32:55.586961,0
2026-03-06 14:32:55.688141,0
2026-03-06 14:32:55.788818,0
2026-03-06 14:32:55.890231,0
2026-03-06 14:32:55.990916,0
2026-03-06 14:32:56.092298,0
2026-03-06 14:32:56.193595,0
2026-03-06 14:32:56.294367,0
2026-03-06 14:32:56.395767,0
2026-03-06 14:32:56.496605,0
2026-03-06 14:32:56.597806,0
2026-03-06 14:32:56.6985,0
2026-03-06 14:32:56.799982,0
2026-03-06 14:32:56.900126,0
2026-03-06 14:32:57.001187,0
2026-03-06 14:32:57.101932,0
2026-03-06 14:32:57.2027,0
2026-03-06 14:32:57.303796,0
2026-03-06 14:32:57.404293,0
2026-03-06 14:32:57.505905,0
2026-03-06 14:32:57.606653,0
2026-03-06 14:32:57.707619,0
2026-03-06 14:32:57.809154,0
2026-03-06 14:32:57.909732,0
2026-03-06 14:32:58.010437,0
2026-03-06 14:32:58.11192,0
2026-03-06 14:32:58.212811,0
2026-03-06 14:32:58.31396,0
2026-03-06 14:32:58.414498,0
2026-03-06 14:32:58.515356,0
2026-03-06 14:32:58.616577,0
2026-03-06 14:32:58.717785,0
2026-03-06 14:32:58.819132,0
