time,PT.GSE_High.raw_adc_counts
2026-03-06 14:34:04.351265,1605448404
2026-03-06 14:34:04.45265,1582905490
2026-03-06 14:34:04.552958,1560134157
2026-03-06 14:34:04.654071,1537060354
2026-03-06 14:34:04.754804,1513689973
2026-03-06 14:34:04.855629,1490019180
2026-03-06 14:34:04.956445,1466151942
2026-03-06 14:34:05.057707,1442096695
2026-03-06 14:34:05.158254,1417853006
2026-03-06 14:34:05.258859,1393450794
2026-03-06 14:34:05.359927,1368874841
2026-03-06 14:34:05.461157,1344082206
2026-03-06 14:34:05.562789,1319195888
2026-03-06 14:34:05.663347,1294321434
2026-03-06 14:34:05.764449,1269380453
2026-03-06 14:34:05.865307,1244458378
2026-03-06 14:34:05.966479,1219421036
2026-03-06 14:34:06.067629,1194448744
2026-03-06 14:34:06.168334,1169563537
2026-03-06 14:34:06.269427,1144679015
2026-03-06 14:34:06.370345,1119935508
2026-03-06 14:34:06.470715,1095299512
2026-03-06 14:34:06.571813,1070793710
2026-03-06 14:34:06.672637,1046432289
2026-03-06 14:34:06.773505,1022222900
2026-03-06 14:34:06.87457,998174342
2026-03-06 14:34:06.975865,974387776
2026-03-06 14:34:07.076458,950812784
2026-03-06 14:34:07.177492,927520631
2026-03-06 14:34:07.278523,904549975
2026-03-06 14:34:07.379755,881825172
2026-03-06 14:34:07.481021,859409402
2026-03-06 14:34:07.581643,837395596
2026-03-06 14:34:07.682672,815761495
2026-03-06 14:34:07.783492,794504562
2026-03-06 14:34:07.8841,773663140
2026-03-06 14:34:07.984554,753265140
2026-03-06 14:34:08.085761,733264209
2026-03-06 14:34:08.186707,713737247
2026-03-06 14:34:08.287679,694697809
2026-03-06 14:34:08.3883,676131788
2026-03-06 14:34:08.489405,658067029
2026-03-06 14:34:08.590209,640558901
2026-03-06 14:34:08.691212,623604725
2026-03-06 14:34:08.79214,607210721
2026-03-06 14:34:08.89313,591405141
2026-03-06 14:34:08.994018,576159969
2026-03-06 14:34:09.094836,561555889
2026-03-06 14:34:09.19593,547519415
2026-03-06 14:34:09.296778,534147962
2026-03-06 14:34:09.397286,521403961
2026-03-06 14:34:09.49836,509317165
2026-03-06 14:34:09.599645,497884092
2026-03-06 14:34:09.700806,487142128
2026-03-06 14:34:09.801136,477107723
2026-03-06 14:34:09.902114,467769185
2026-03-06 14:34:10.003016,459137164
2026-03-06 14:34:10.103389,451207518
2026-03-06 14:34:10.204648,443996370
2026-03-06 14:34:10.305298,437515885
2026-03-06 14:34:10.406308,431767898
2026-03-06 14:34:10.507117,426754082
2026-03-06 14:34:10.607632,422480968
2026-03-06 14:34:10.708376,418946700
2026-03-06 14:34:10.809356,416165596
2026-03-06 14:34:10.910197,414135358
2026-03-06 14:34:11.010959,412857215
2026-03-06 14:34:11.11141,412331558
2026-03-06 14:34:11.212145,412559697
2026-03-06 14:34:11.313098,413540020
2026-03-06 14:34:11.414013,415271722
2026-03-06 14:34:11.514218,417750927
2026-03-06 14:34:11.615208,420988087
2026-03-06 14:34:11.716086,424968512
2026-03-06 14:34:11.816915,429691182
2026-03-06 14:34:11.91794,435158603
2026-03-06 14:34:12.01866,441354456
2026-03-06 14:34:12.119356,448280354
2026-03-06 14:34:12.220892,455945144
2026-03-06 14:34:12.321922,464324913
2026-03-06 14:34:12.422634,473386449
2026-03-06 14:34:12.523438,483146746
2026-03-06 14:34:12.624296,493614577
2026-03-06 14:34:12.724658,504756639
2026-03-06 14:34:12.825708,516572328
2026-03-06 14:34:12.926578,529038324
2026-03-06 14:34:13.027838,542174004
2026-03-06 14:34:13.12864,555954003
2026-03-06 14:34:13.229275,570333872
2026-03-06 14:34:13.330386,585335320
2026-03-06 14:34:13.431436,600954580
2026-03-06 14:34:13.532709,617139082
2026-03-06 14:34:13.633051,633885574
2026-03-06 14:34:13.734486,651184419
2026-03-06 14:34:13.835481,669027230
2026-03-06 14:34:13.936316,687401509
2026-03-06 14:34:14.037381,706264786
2026-03-06 14:34:14.137944,725614608
2026-03-06 14:34:14.239355,745478482
2026-03-06 14:34:14.340081,765791790
2026-03-06 14:34:14.441944,786582327
2026-03-06 14:34:14.542898,807750004
2026-03-06 14:34:14.643994,829276052
2026-03-06 14:34:14.744635,851185894
2026-03-06 14:34:14.846157,873464954
2026-03-06 14:34:14.946585,896022712
2026-03-06 14:34:15.047589,918898868
2026-03-06 14:34:15.148588,942087274
2026-03-06 14:34:15.249691,965550705
2026-03-06 14:34:15.350652,989317423
2026-03-06 14:34:15.451682,1013244707
2026-03-06 14:34:15.552639,1037376132
2026-03-06 14:34:15.653836,1061722837
2026-03-06 14:34:15.754762,1086267186
2026-03-06 14:34:15.856379,1110945981
2026-03-06 14:34:15.957145,1135719727
2026-03-06 14:34:16.058191,1160504728
2026-03-06 14:34:16.158846,1185361020
2026-03-06 14:34:16.259899,1210261913
2026-03-06 14:34:16.360286,1235182577
2026-03-06 14:34:16.461313,1260163175
2026-03-06 14:34:16.562122,1285098131
2026-03-06 14:34:16.663497,1310017869
2026-03-06 14:34:16.763873,1334829913
2026-03-06 14:34:16.864639,1359526719
2026-03-06 14:34:16.965381,1384109357
2026-03-06 14:34:17.06668,1408590703
