time,LC_Cal.CH1.raw_adc
2026-03-06 21:16:09.356058,574109
2026-03-06 21:16:09.35612,554563
2026-03-06 21:16:09.356232,699479
2026-03-06 21:16:09.3563,549169
2026-03-06 21:16:09.456287,622639
2026-03-06 21:16:09.456365,603767
2026-03-06 21:16:09.456432,679932
2026-03-06 21:16:09.456503,672518
2026-03-06 21:16:09.456641,622639
2026-03-06 21:16:09.556038,702176
2026-03-06 21:16:09.556102,652971
2026-03-06 21:16:09.556196,603767
2026-03-06 21:16:09.556267,450761
2026-03-06 21:16:09.556348,562650
2026-03-06 21:16:09.556418,466938
2026-03-06 21:16:09.556727,450761
2026-03-06 21:16:09.65573,725767
2026-03-06 21:16:09.655787,608485
2026-03-06 21:16:09.655831,795866
2026-03-06 21:16:09.655883,629380
2026-03-06 21:16:09.655934,607137
2026-03-06 21:16:09.655993,603093
2026-03-06 21:16:09.755621,653645
2026-03-06 21:16:09.755678,623988
2026-03-06 21:16:09.755719,626683
2026-03-06 21:16:09.755763,727115
2026-03-06 21:16:09.755829,653645
2026-03-06 21:16:09.855615,768904
2026-03-06 21:16:09.855691,632076
2026-03-06 21:16:09.855749,733855
2026-03-06 21:16:09.855808,586242
2026-03-06 21:16:09.856444,768904
2026-03-06 21:16:09.955807,527601
2026-03-06 21:16:09.955848,770928
2026-03-06 21:16:09.95587,791147
2026-03-06 21:16:09.955893,654993
2026-03-06 21:16:09.955922,619944
2026-03-06 21:16:10.055921,583546
2026-03-06 21:16:10.056,632076
2026-03-06 21:16:10.056106,393468
2026-03-06 21:16:10.05625,670495
2026-03-06 21:16:10.05647,613204
2026-03-06 21:16:10.056554,520186
2026-03-06 21:16:10.056555,583546
2026-03-06 21:16:10.155519,519512
2026-03-06 21:16:10.15562,538386
2026-03-06 21:16:10.155713,628031
2026-03-06 21:16:10.155802,742617
2026-03-06 21:16:10.258857,597027
2026-03-06 21:16:10.258936,762838
2026-03-06 21:16:10.258996,659037
2026-03-06 21:16:10.259054,872706
2026-03-06 21:16:10.259267,597027
2026-03-06 21:16:10.359045,706893
2026-03-06 21:16:10.359117,661733
2026-03-06 21:16:10.359192,590961
2026-03-06 21:16:10.359471,706893
2026-03-06 21:16:10.458979,634097
2026-03-06 21:16:10.459066,660385
2026-03-06 21:16:10.459141,657689
2026-03-06 21:16:10.459243,580175
2026-03-06 21:16:10.459514,657689
2026-03-06 21:16:10.558921,770253
2026-03-06 21:16:10.55899,721049
2026-03-06 21:16:10.559078,664430
2026-03-06 21:16:10.559146,740595
2026-03-06 21:16:10.559586,740595
2026-03-06 21:16:10.658726,666452
2026-03-06 21:16:10.658789,535015
2026-03-06 21:16:10.658841,512099
2026-03-06 21:16:10.6589,612529
2026-03-06 21:16:10.658955,753402
2026-03-06 21:16:10.659017,692739
2026-03-06 21:16:10.659527,512099
2026-03-06 21:16:10.758664,636120
2026-03-06 21:16:10.758721,633425
2026-03-06 21:16:10.758748,677236
2026-03-06 21:16:10.758779,733180
2026-03-06 21:16:10.758814,614551
2026-03-06 21:16:10.759585,733180
2026-03-06 21:16:10.858893,671170
2026-03-06 21:16:10.858987,516142
2026-03-06 21:16:10.859044,617248
2026-03-06 21:16:10.859132,595004
2026-03-06 21:16:10.859777,516142
2026-03-06 21:16:10.959151,587590
2026-03-06 21:16:10.959244,629380
2026-03-06 21:16:10.959299,662408
2026-03-06 21:16:10.95945,587590
2026-03-06 21:16:10.959884,662408
2026-03-06 21:16:11.058593,570740
2026-03-06 21:16:11.058656,702849
2026-03-06 21:16:11.058727,491878
2026-03-06 21:16:11.058843,506706
2026-03-06 21:16:11.158553,756772
2026-03-06 21:16:11.158607,627357
2026-03-06 21:16:11.158645,626010
2026-03-06 21:16:11.158685,662408
2026-03-06 21:16:11.158731,688695
2026-03-06 21:16:11.159004,756772
2026-03-06 21:16:11.261795,489182
2026-03-06 21:16:11.261835,653645
2026-03-06 21:16:11.261852,613204
2026-03-06 21:16:11.261875,502662
2026-03-06 21:16:11.26189,489182
2026-03-06 21:16:11.261898,661733
2026-03-06 21:16:11.261913,673192
2026-03-06 21:16:11.362182,694087
2026-03-06 21:16:11.36223,584219
2026-03-06 21:16:11.362265,771600
2026-03-06 21:16:11.362308,569391
2026-03-06 21:16:11.362344,546473
2026-03-06 21:16:11.362637,694087
2026-03-06 21:16:11.46211,711612
2026-03-06 21:16:11.462252,568716
2026-03-06 21:16:11.462332,677910
2026-03-06 21:16:11.462779,677910
2026-03-06 21:16:11.562114,603767
2026-03-06 21:16:11.562182,669822
2026-03-06 21:16:11.562223,728463
2026-03-06 21:16:11.562259,595004
2026-03-06 21:16:11.562309,624662
2026-03-06 21:16:11.562848,624662
2026-03-06 21:16:11.6621,675214
2026-03-06 21:16:11.662192,641512
2026-03-06 21:16:11.662233,685324
2026-03-06 21:16:11.662258,601744
2026-03-06 21:16:11.662297,560629
2026-03-06 21:16:11.663572,685324
2026-03-06 21:16:11.76236,593656
2026-03-06 21:16:11.762406,648927
2026-03-06 21:16:11.762435,595678
2026-03-06 21:16:11.762462,596352
2026-03-06 21:16:11.762484,752054
2026-03-06 21:16:11.762504,673192
2026-03-06 21:16:11.861846,650274
2026-03-06 21:16:11.861892,656341
2026-03-06 21:16:11.861908,708916
2026-03-06 21:16:11.861935,631401
2026-03-06 21:16:11.861975,559281
2026-03-06 21:16:11.862019,605114
2026-03-06 21:16:11.862569,650274
2026-03-06 21:16:11.961823,636120
2026-03-06 21:16:11.961868,606463
2026-03-06 21:16:11.961889,739246
2026-03-06 21:16:11.961895,426495
2026-03-06 21:16:11.961904,568716
2026-03-06 21:16:12.061414,822154
2026-03-06 21:16:12.06149,636120
2026-03-06 21:16:12.061548,694761
2026-03-06 21:16:12.061668,619269
2026-03-06 21:16:12.061851,822154
2026-03-06 21:16:12.161886,664430
2026-03-06 21:16:12.161937,793169
2026-03-06 21:16:12.161959,554563
2026-03-06 21:16:12.161971,524231
2026-03-06 21:16:12.162384,664430
2026-03-06 21:16:12.264975,628031
2026-03-06 21:16:12.265058,543104
2026-03-06 21:16:12.265115,502662
2026-03-06 21:16:12.265145,628031
2026-03-06 21:16:12.265219,619269
2026-03-06 21:16:12.265293,552540
2026-03-06 21:16:12.265368,659712
2026-03-06 21:16:12.26543,731833
2026-03-06 21:16:12.364702,574784
2026-03-06 21:16:12.364732,745988
2026-03-06 21:16:12.36475,628031
2026-03-06 21:16:12.364761,628031
2026-03-06 21:16:12.464769,647578
2026-03-06 21:16:12.464843,681280
2026-03-06 21:16:12.464912,512771
2026-03-06 21:16:12.46533,647578
2026-03-06 21:16:12.565722,618595
2026-03-06 21:16:12.567207,618595
2026-03-06 21:16:12.664984,692739
2026-03-06 21:16:12.665058,487159
2026-03-06 21:16:12.665139,616573
2026-03-06 21:16:12.665216,625335
2026-03-06 21:16:12.665308,576131
2026-03-06 21:16:12.665381,854506
2026-03-06 21:16:12.667381,854506
2026-03-06 21:16:12.764614,464915
2026-03-06 21:16:12.764659,696109
2026-03-06 21:16:12.764685,479070
2026-03-06 21:16:12.76472,711612
2026-03-06 21:16:12.764755,683302
2026-03-06 21:16:12.764797,659037
