time,ACT.GSE_LOX_Fill_Vent.actuator_state
2026-03-06 21:18:55.249022,1
2026-03-06 21:18:55.292474,0
2026-03-06 21:18:55.350469,1
2026-03-06 21:18:55.394188,0
2026-03-06 21:18:55.452881,1
2026-03-06 21:18:55.496487,0
2026-03-06 21:18:55.554945,1
2026-03-06 21:18:55.598544,0
2026-03-06 21:18:55.656933,1
2026-03-06 21:18:55.700313,0
2026-03-06 21:18:55.758412,1
2026-03-06 21:18:55.802382,0
2026-03-06 21:18:55.860837,1
2026-03-06 21:18:55.904484,0
2026-03-06 21:18:55.962683,1
2026-03-06 21:18:56.006457,0
2026-03-06 21:18:56.064743,1
2026-03-06 21:18:56.108182,0
2026-03-06 21:18:56.167388,1
2026-03-06 21:18:56.210334,0
2026-03-06 21:18:56.268793,1
2026-03-06 21:18:56.312284,0
2026-03-06 21:18:56.370609,1
2026-03-06 21:18:56.414391,0
2026-03-06 21:18:56.473038,1
2026-03-06 21:18:56.51648,0
2026-03-06 21:18:56.575325,1
2026-03-06 21:18:56.618176,0
2026-03-06 21:18:56.677075,1
2026-03-06 21:18:56.720307,0
2026-03-06 21:18:56.778691,1
2026-03-06 21:18:56.822456,0
2026-03-06 21:18:56.881117,1
2026-03-06 21:18:56.924563,0
2026-03-06 21:18:56.982684,1
2026-03-06 21:18:57.026794,0
2026-03-06 21:18:57.084843,1
2026-03-06 21:18:57.128536,0
2026-03-06 21:18:57.186936,1
2026-03-06 21:18:57.230481,0
2026-03-06 21:18:57.289067,1
2026-03-06 21:18:57.33267,0
2026-03-06 21:18:57.390619,1
2026-03-06 21:18:57.434315,0
2026-03-06 21:18:57.492884,1
2026-03-06 21:18:57.536198,0
2026-03-06 21:18:57.59479,1
2026-03-06 21:18:57.638127,0
2026-03-06 21:18:57.696978,1
2026-03-06 21:18:57.740294,0
2026-03-06 21:18:57.798961,1
2026-03-06 21:18:57.842561,0
2026-03-06 21:18:57.900941,1
2026-03-06 21:18:57.944895,0
2026-03-06 21:18:58.00273,1
2026-03-06 21:18:58.046402,0
2026-03-06 21:18:58.104651,1
2026-03-06 21:18:58.148403,0
2026-03-06 21:18:58.206915,1
2026-03-06 21:18:58.25046,0
2026-03-06 21:18:58.30923,1
2026-03-06 21:18:58.352288,0
2026-03-06 21:18:58.411011,1
2026-03-06 21:18:58.454495,0
2026-03-06 21:18:58.512591,1
2026-03-06 21:18:58.556116,0
2026-03-06 21:18:58.61451,1
2026-03-06 21:18:58.658649,0
2026-03-06 21:18:58.716748,1
2026-03-06 21:18:58.760768,0
2026-03-06 21:18:58.819032,1
2026-03-06 21:18:58.862553,0
2026-03-06 21:18:58.921099,1
2026-03-06 21:18:58.964314,0
2026-03-06 21:18:59.022868,1
2026-03-06 21:18:59.066231,0
2026-03-06 21:18:59.125054,1
2026-03-06 21:18:59.16851,0
2026-03-06 21:18:59.226491,1
2026-03-06 21:18:59.2701,0
2026-03-06 21:18:59.329013,1
2026-03-06 21:18:59.372255,0
2026-03-06 21:18:59.430864,1
2026-03-06 21:18:59.474322,0
2026-03-06 21:18:59.5326,1
2026-03-06 21:18:59.576165,0
2026-03-06 21:18:59.634693,1
2026-03-06 21:18:59.678218,0
2026-03-06 21:18:59.736877,1
2026-03-06 21:18:59.780256,0
2026-03-06 21:18:59.839181,1
2026-03-06 21:18:59.882046,0
2026-03-06 21:18:59.940793,1
2026-03-06 21:18:59.98433,0
2026-03-06 21:19:00.042877,1
2026-03-06 21:19:00.08625,0
2026-03-06 21:19:00.144967,1
2026-03-06 21:19:00.188456,0
2026-03-06 21:19:00.24713,1
2026-03-06 21:19:00.290665,0
2026-03-06 21:19:00.348741,1
2026-03-06 21:19:00.392236,0
2026-03-06 21:19:00.450504,1
2026-03-06 21:19:00.494753,0
2026-03-06 21:19:00.55293,1
2026-03-06 21:19:00.596473,0
2026-03-06 21:19:00.654825,1
2026-03-06 21:19:00.698748,0
2026-03-06 21:19:00.757075,1
2026-03-06 21:19:00.80061,0
2026-03-06 21:19:00.859007,1
2026-03-06 21:19:00.902218,0
2026-03-06 21:19:00.960979,1
2026-03-06 21:19:01.004626,0
2026-03-06 21:19:01.062509,1
2026-03-06 21:19:01.106418,0
2026-03-06 21:19:01.164857,1
2026-03-06 21:19:01.208626,0
2026-03-06 21:19:01.266776,1
2026-03-06 21:19:01.310628,0
2026-03-06 21:19:01.368976,1
2026-03-06 21:19:01.412284,0
2026-03-06 21:19:01.470804,1
2026-03-06 21:19:01.514335,0
2026-03-06 21:19:01.572903,1
2026-03-06 21:19:01.616174,0
2026-03-06 21:19:01.675664,1
2026-03-06 21:19:01.718584,0
2026-03-06 21:19:01.777039,1
2026-03-06 21:19:01.820386,0
2026-03-06 21:19:01.878985,1
2026-03-06 21:19:01.922317,0
2026-03-06 21:19:01.980658,1
2026-03-06 21:19:02.024413,0
2026-03-06 21:19:02.083075,1
2026-03-06 21:19:02.126526,0
2026-03-06 21:19:02.184549,1
2026-03-06 21:19:02.228541,0
2026-03-06 21:19:02.286846,1
2026-03-06 21:19:02.330576,0
2026-03-06 21:19:02.38946,1
2026-03-06 21:19:02.432256,0
2026-03-06 21:19:02.490877,1
2026-03-06 21:19:02.534718,0
2026-03-06 21:19:02.592903,1
2026-03-06 21:19:02.636623,0
2026-03-06 21:19:02.694875,1
2026-03-06 21:19:02.738632,0
2026-03-06 21:19:02.797186,1
2026-03-06 21:19:02.840432,0
2026-03-06 21:19:02.898886,1
2026-03-06 21:19:02.942429,0
2026-03-06 21:19:03.000712,1
2026-03-06 21:19:03.044341,0
2026-03-06 21:19:03.102879,1
2026-03-06 21:19:03.146189,0
2026-03-06 21:19:03.204961,1
2026-03-06 21:19:03.248616,0
2026-03-06 21:19:03.306772,1
2026-03-06 21:19:03.350248,0
2026-03-06 21:19:03.408587,1
2026-03-06 21:19:03.452241,0
2026-03-06 21:19:03.510663,1
2026-03-06 21:19:03.554506,0
2026-03-06 21:19:03.612894,1
2026-03-06 21:19:03.656521,0
2026-03-06 21:19:03.715061,1
2026-03-06 21:19:03.758156,0
2026-03-06 21:19:03.816898,1
2026-03-06 21:19:03.860724,0
2026-03-06 21:19:03.918929,1
2026-03-06 21:19:03.962391,0
2026-03-06 21:19:04.020787,1
2026-03-06 21:19:04.06462,0
2026-03-06 21:19:04.12314,1
2026-03-06 21:19:04.166636,0
2026-03-06 21:19:04.225083,1
2026-03-06 21:19:04.268298,0
2026-03-06 21:19:04.327132,1
2026-03-06 21:19:04.370608,0
2026-03-06 21:19:04.428971,1
2026-03-06 21:19:04.472689,0
2026-03-06 21:19:04.53106,1
2026-03-06 21:19:04.574236,0
2026-03-06 21:19:04.632647,1
2026-03-06 21:19:04.676225,0
2026-03-06 21:19:04.73492,1
2026-03-06 21:19:04.778559,0
2026-03-06 21:19:04.836755,1
2026-03-06 21:19:04.880428,0
2026-03-06 21:19:04.939056,1
2026-03-06 21:19:04.982327,0
2026-03-06 21:19:05.041339,1
2026-03-06 21:19:05.084694,0
2026-03-06 21:19:05.14287,1
2026-03-06 21:19:05.186435,0
2026-03-06 21:19:05.245076,1
2026-03-06 21:19:05.288182,0
2026-03-06 21:19:05.346798,1
2026-03-06 21:19:05.390049,0
2026-03-06 21:19:05.449013,1
2026-03-06 21:19:05.492585,0
2026-03-06 21:19:05.550502,1
2026-03-06 21:19:05.594408,0
2026-03-06 21:19:05.653809,1
2026-03-06 21:19:05.696388,0
2026-03-06 21:19:05.754688,1
2026-03-06 21:19:05.79824,0
2026-03-06 21:19:05.856998,1
2026-03-06 21:19:05.900449,0
2026-03-06 21:19:05.958871,1
2026-03-06 21:19:06.002285,0
2026-03-06 21:19:06.060628,1
2026-03-06 21:19:06.104351,0
2026-03-06 21:19:06.162867,1
2026-03-06 21:19:06.206378,0
2026-03-06 21:19:06.264786,1
2026-03-06 21:19:06.308569,0
2026-03-06 21:19:06.366794,1
2026-03-06 21:19:06.41019,0
2026-03-06 21:19:06.469205,1
2026-03-06 21:19:06.512122,0
2026-03-06 21:19:06.571383,1
2026-03-06 21:19:06.614558,0
2026-03-06 21:19:06.672799,1
2026-03-06 21:19:06.716578,0
2026-03-06 21:19:06.775127,1
2026-03-06 21:19:06.818276,0
2026-03-06 21:19:06.876817,1
2026-03-06 21:19:06.920646,0
2026-03-06 21:19:06.978721,1
2026-03-06 21:19:07.022456,0
2026-03-06 21:19:07.080644,1
2026-03-06 21:19:07.124317,0
2026-03-06 21:19:07.182962,1
2026-03-06 21:19:07.226273,0
2026-03-06 21:19:07.284791,1
2026-03-06 21:19:07.328655,0
2026-03-06 21:19:07.387023,1
2026-03-06 21:19:07.430017,0
2026-03-06 21:19:07.488902,1
2026-03-06 21:19:07.532372,0
2026-03-06 21:19:07.590814,1
2026-03-06 21:19:07.63453,0
2026-03-06 21:19:07.693033,1
2026-03-06 21:19:07.736311,0
2026-03-06 21:19:07.79506,1
2026-03-06 21:19:07.83876,0
2026-03-06 21:19:07.89683,1
2026-03-06 21:19:07.940435,0
2026-03-06 21:19:07.9988,1
2026-03-06 21:19:08.042676,0
2026-03-06 21:19:08.100674,1
2026-03-06 21:19:08.144435,0
2026-03-06 21:19:08.202659,1
2026-03-06 21:19:08.246448,0
2026-03-06 21:19:08.305008,1
2026-03-06 21:19:08.348609,0
2026-03-06 21:19:08.406853,1
2026-03-06 21:19:08.450309,0
2026-03-06 21:19:08.508907,1
2026-03-06 21:19:08.552548,0
2026-03-06 21:19:08.610654,1
2026-03-06 21:19:08.654292,0
2026-03-06 21:19:08.712988,1
2026-03-06 21:19:08.756219,0
2026-03-06 21:19:08.814886,1
2026-03-06 21:19:08.858435,0
2026-03-06 21:19:08.91674,1
2026-03-06 21:19:08.960543,0
2026-03-06 21:19:09.019095,1
2026-03-06 21:19:09.062546,0
2026-03-06 21:19:09.120819,1
2026-03-06 21:19:09.164249,0
2026-03-06 21:19:09.222761,1
2026-03-06 21:19:09.266258,0
2026-03-06 21:19:09.324704,1
2026-03-06 21:19:09.368273,0
2026-03-06 21:19:09.427054,1
2026-03-06 21:19:09.470468,0
2026-03-06 21:19:09.528827,1
2026-03-06 21:19:09.572561,0
2026-03-06 21:19:09.63084,1
2026-03-06 21:19:09.674785,0
