time,ACT.Fuel_Fill_Vent.raw_adc_counts
2026-03-06 21:24:17.265663,1049191779
2026-03-06 21:24:17.307398,978534504
2026-03-06 21:24:17.367398,1049110659
2026-03-06 21:24:17.409592,0
2026-03-06 21:24:17.469716,1049083618
2026-03-06 21:24:17.511346,0
2026-03-06 21:24:17.571368,1049083618
2026-03-06 21:24:17.613486,0
2026-03-06 21:24:17.67326,1049056578
2026-03-06 21:24:17.715804,0
2026-03-06 21:24:17.77571,1049083618
2026-03-06 21:24:17.817775,0
2026-03-06 21:24:17.87748,1049083618
2026-03-06 21:24:17.919736,0
2026-03-06 21:24:17.97953,1049137699
2026-03-06 21:24:18.021531,0
2026-03-06 21:24:18.081551,1049110659
2026-03-06 21:24:18.123187,0
2026-03-06 21:24:18.183347,1049110659
2026-03-06 21:24:18.225691,0
2026-03-06 21:24:18.285416,1049083618
2026-03-06 21:24:18.327378,0
2026-03-06 21:24:18.387128,1049083618
2026-03-06 21:24:18.429405,0
2026-03-06 21:24:18.489576,1049083618
2026-03-06 21:24:18.531833,0
2026-03-06 21:24:18.591466,1049083618
2026-03-06 21:24:18.633666,978534504
2026-03-06 21:24:18.693309,1049137699
2026-03-06 21:24:18.735632,0
2026-03-06 21:24:18.795699,1049083618
2026-03-06 21:24:18.837667,0
2026-03-06 21:24:18.897275,1049137699
2026-03-06 21:24:18.939449,978534504
2026-03-06 21:24:18.999215,1049083618
2026-03-06 21:24:19.041611,0
2026-03-06 21:24:19.101246,1049083618
2026-03-06 21:24:19.143684,978534504
2026-03-06 21:24:19.203586,1049083618
2026-03-06 21:24:19.245486,0
2026-03-06 21:24:19.305626,1049056578
2026-03-06 21:24:19.347527,0
2026-03-06 21:24:19.407392,1049056578
2026-03-06 21:24:19.44983,0
2026-03-06 21:24:19.509453,1049083618
2026-03-06 21:24:19.551405,978534504
2026-03-06 21:24:19.611694,1049110659
2026-03-06 21:24:19.653543,978534504
2026-03-06 21:24:19.713304,1049137699
2026-03-06 21:24:19.75529,0
2026-03-06 21:24:19.815257,1049110659
2026-03-06 21:24:19.857551,0
2026-03-06 21:24:19.917429,1049110659
2026-03-06 21:24:19.959878,0
2026-03-06 21:24:20.019377,1049110659
2026-03-06 21:24:20.061759,0
2026-03-06 21:24:20.121491,1049029538
2026-03-06 21:24:20.163769,978534504
2026-03-06 21:24:20.223403,1049083618
2026-03-06 21:24:20.26581,0
2026-03-06 21:24:20.325147,1049110659
2026-03-06 21:24:20.367274,0
2026-03-06 21:24:20.427725,1049083618
2026-03-06 21:24:20.469293,978534504
2026-03-06 21:24:20.529162,1049137699
2026-03-06 21:24:20.571275,978534504
2026-03-06 21:24:20.631326,1049110659
2026-03-06 21:24:20.67334,0
2026-03-06 21:24:20.733617,1049137699
2026-03-06 21:24:20.775689,0
2026-03-06 21:24:20.835476,1049083618
2026-03-06 21:24:20.87768,0
2026-03-06 21:24:20.937707,1049083618
2026-03-06 21:24:20.979602,0
2026-03-06 21:24:21.039497,1049083618
2026-03-06 21:24:21.081615,0
2026-03-06 21:24:21.141368,1049083618
2026-03-06 21:24:21.183324,0
2026-03-06 21:24:21.243461,1049110659
2026-03-06 21:24:21.285569,978534504
2026-03-06 21:24:21.34526,1049164739
2026-03-06 21:24:21.387718,978534504
2026-03-06 21:24:21.447617,1049164739
2026-03-06 21:24:21.489874,0
2026-03-06 21:24:21.549382,1049110659
2026-03-06 21:24:21.591766,0
2026-03-06 21:24:21.651765,1049083618
2026-03-06 21:24:21.693375,978534504
2026-03-06 21:24:21.753351,1049083618
2026-03-06 21:24:21.795809,978534504
2026-03-06 21:24:21.85521,1049056578
2026-03-06 21:24:21.897281,0
2026-03-06 21:24:21.95728,1049083618
2026-03-06 21:24:21.999812,0
2026-03-06 21:24:22.059502,1049083618
2026-03-06 21:24:22.101724,978534504
2026-03-06 21:24:22.161391,1049191779
2026-03-06 21:24:22.203408,0
2026-03-06 21:24:22.263178,1049354020
2026-03-06 21:24:22.305489,0
2026-03-06 21:24:22.365583,1049354020
2026-03-06 21:24:22.407722,0
2026-03-06 21:24:22.467402,1049326980
2026-03-06 21:24:22.509476,0
2026-03-06 21:24:22.569814,1049354020
2026-03-06 21:24:22.611698,978534504
2026-03-06 21:24:22.671435,1049083618
2026-03-06 21:24:22.713298,978534504
2026-03-06 21:24:22.773685,1049083618
2026-03-06 21:24:22.815722,0
2026-03-06 21:24:22.875324,1049137699
2026-03-06 21:24:22.917781,0
2026-03-06 21:24:22.977322,1049137699
