time,PT_Cal.Fuel_Fill_Press.timestamp_ns
2026-03-06 21:14:20.837926,1772831660836906695
2026-03-06 21:14:20.837985,1772831660836906695
2026-03-06 21:14:20.838063,1772831660836906695
2026-03-06 21:14:20.838074,1772831660838063361
2026-03-06 21:14:20.838162,1772831660836906695
2026-03-06 21:14:20.83825,1772831660836906695
2026-03-06 21:14:20.83834,1772831660836906695
2026-03-06 21:14:20.946809,1772831660946168391
2026-03-06 21:14:20.946967,1772831660946168391
2026-03-06 21:14:20.947053,1772831660946168391
2026-03-06 21:14:20.947149,1772831660946168391
2026-03-06 21:14:20.947244,1772831660947173717
2026-03-06 21:14:20.947287,1772831660946168391
2026-03-06 21:14:20.94742,1772831660946168391
2026-03-06 21:14:21.055731,1772831661055116495
2026-03-06 21:14:21.055831,1772831661055116495
2026-03-06 21:14:21.055882,1772831661055116495
2026-03-06 21:14:21.056006,1772831661055116495
2026-03-06 21:14:21.056165,1772831661055116495
2026-03-06 21:14:21.056202,1772831661056186284
2026-03-06 21:14:21.056404,1772831661055116495
2026-03-06 21:14:21.16527,1772831661164202226
2026-03-06 21:14:21.165542,1772831661164202226
2026-03-06 21:14:21.165825,1772831661164202226
2026-03-06 21:14:21.166174,1772831661164202226
2026-03-06 21:14:21.166338,1772831661164202226
2026-03-06 21:14:21.167072,1772831661166941774
2026-03-06 21:14:21.275092,1772831661273479824
2026-03-06 21:14:21.275367,1772831661273479824
2026-03-06 21:14:21.275633,1772831661273479824
2026-03-06 21:14:21.275669,1772831661275581948
2026-03-06 21:14:21.275948,1772831661273479824
2026-03-06 21:14:21.276207,1772831661273479824
2026-03-06 21:14:21.383073,1772831661382267950
2026-03-06 21:14:21.383325,1772831661382267950
2026-03-06 21:14:21.383547,1772831661382267950
2026-03-06 21:14:21.383792,1772831661382267950
2026-03-06 21:14:21.384232,1772831661384195934
2026-03-06 21:14:21.492738,1772831661491497660
2026-03-06 21:14:21.492862,1772831661491497660
2026-03-06 21:14:21.492896,1772831661492866016
2026-03-06 21:14:21.493104,1772831661491497660
