time,RTD.CH1.sample_ts_ms
2026-03-06 21:17:45.55106,11086809
2026-03-06 21:17:45.551074,11086824
2026-03-06 21:17:45.55109,11086839
2026-03-06 21:17:45.551107,11086854
2026-03-06 21:17:45.551121,11086869
2026-03-06 21:17:45.551147,11086884
2026-03-06 21:17:45.551157,11086899
2026-03-06 21:17:45.685941,11086914
2026-03-06 21:17:45.686043,11086929
2026-03-06 21:17:45.686106,11086944
2026-03-06 21:17:45.686183,11086959
2026-03-06 21:17:45.686256,11086974
2026-03-06 21:17:45.686329,11086989
2026-03-06 21:17:45.686404,11087004
2026-03-06 21:17:45.686482,11087019
2026-03-06 21:17:45.686561,11087034
2026-03-06 21:17:45.82118,11087049
2026-03-06 21:17:45.821311,11087064
2026-03-06 21:17:45.821371,11087079
2026-03-06 21:17:45.821432,11087094
2026-03-06 21:17:45.82149,11087109
2026-03-06 21:17:45.821549,11087124
2026-03-06 21:17:45.821609,11087139
2026-03-06 21:17:45.821957,11087154
2026-03-06 21:17:45.822014,11087169
2026-03-06 21:17:45.956032,11087184
2026-03-06 21:17:45.956132,11087199
2026-03-06 21:17:45.956195,11087214
2026-03-06 21:17:45.956253,11087229
2026-03-06 21:17:45.956311,11087244
2026-03-06 21:17:45.956368,11087259
2026-03-06 21:17:45.956423,11087274
2026-03-06 21:17:45.956469,11087289
2026-03-06 21:17:45.956497,11087304
2026-03-06 21:17:46.095228,11087323
2026-03-06 21:17:46.095342,11087338
2026-03-06 21:17:46.095423,11087353
2026-03-06 21:17:46.095474,11087368
2026-03-06 21:17:46.095509,11087383
2026-03-06 21:17:46.095563,11087398
2026-03-06 21:17:46.095606,11087413
2026-03-06 21:17:46.09563,11087428
2026-03-06 21:17:46.095671,11087443
2026-03-06 21:17:46.229999,11087458
2026-03-06 21:17:46.230123,11087473
2026-03-06 21:17:46.230228,11087488
2026-03-06 21:17:46.23027,11087503
2026-03-06 21:17:46.230304,11087518
2026-03-06 21:17:46.230332,11087533
2026-03-06 21:17:46.230347,11087548
2026-03-06 21:17:46.230374,11087563
2026-03-06 21:17:46.230394,11087578
2026-03-06 21:17:46.365058,11087593
2026-03-06 21:17:46.365205,11087608
2026-03-06 21:17:46.365276,11087623
2026-03-06 21:17:46.365353,11087638
2026-03-06 21:17:46.365427,11087653
2026-03-06 21:17:46.365505,11087668
2026-03-06 21:17:46.365573,11087683
2026-03-06 21:17:46.365624,11087698
2026-03-06 21:17:46.365701,11087713
2026-03-06 21:17:46.500359,11087728
2026-03-06 21:17:46.500452,11087743
2026-03-06 21:17:46.500512,11087758
2026-03-06 21:17:46.500575,11087773
2026-03-06 21:17:46.50063,11087788
2026-03-06 21:17:46.500688,11087803
2026-03-06 21:17:46.500742,11087818
2026-03-06 21:17:46.500761,11087833
2026-03-06 21:17:46.500774,11087848
2026-03-06 21:17:46.635047,11087863
2026-03-06 21:17:46.63515,11087878
2026-03-06 21:17:46.635243,11087893
2026-03-06 21:17:46.635322,11087908
2026-03-06 21:17:46.635414,11087923
2026-03-06 21:17:46.635492,11087938
2026-03-06 21:17:46.635566,11087953
2026-03-06 21:17:46.635605,11087968
2026-03-06 21:17:46.635653,11087983
2026-03-06 21:17:46.77052,11087998
2026-03-06 21:17:46.77067,11088013
2026-03-06 21:17:46.770748,11088028
2026-03-06 21:17:46.770831,11088043
2026-03-06 21:17:46.770882,11088058
2026-03-06 21:17:46.770932,11088073
2026-03-06 21:17:46.771011,11088088
2026-03-06 21:17:46.771084,11088103
2026-03-06 21:17:46.771129,11088118
2026-03-06 21:17:46.905013,11088133
2026-03-06 21:17:46.905132,11088148
2026-03-06 21:17:46.905203,11088163
2026-03-06 21:17:46.905264,11088178
2026-03-06 21:17:46.905324,11088193
2026-03-06 21:17:46.90539,11088208
2026-03-06 21:17:46.905448,11088223
2026-03-06 21:17:46.905513,11088238
2026-03-06 21:17:46.905562,11088253
2026-03-06 21:17:47.040106,11088268
2026-03-06 21:17:47.040231,11088283
2026-03-06 21:17:47.040297,11088298
2026-03-06 21:17:47.040362,11088313
2026-03-06 21:17:47.040433,11088328
2026-03-06 21:17:47.040503,11088343
2026-03-06 21:17:47.040565,11088358
2026-03-06 21:17:47.0406,11088373
2026-03-06 21:17:47.040622,11088388
2026-03-06 21:17:47.178811,11088407
2026-03-06 21:17:47.178888,11088422
2026-03-06 21:17:47.178927,11088437
2026-03-06 21:17:47.17896,11088452
2026-03-06 21:17:47.178984,11088467
2026-03-06 21:17:47.179021,11088482
2026-03-06 21:17:47.179055,11088497
2026-03-06 21:17:47.179092,11088512
2026-03-06 21:17:47.179132,11088527
2026-03-06 21:17:47.314486,11088542
2026-03-06 21:17:47.314577,11088557
2026-03-06 21:17:47.314637,11088572
