time,TC.CH5.sample_ts_ms
2026-03-06 21:15:13.233491,10934576
2026-03-06 21:15:13.233527,10934590
2026-03-06 21:15:13.233546,10934604
2026-03-06 21:15:13.359972,10934619
2026-03-06 21:15:13.360081,10934633
2026-03-06 21:15:13.360179,10934647
2026-03-06 21:15:13.360206,10934661
2026-03-06 21:15:13.360296,10934675
2026-03-06 21:15:13.360343,10934689
2026-03-06 21:15:13.360392,10934703
2026-03-06 21:15:13.360434,10934717
2026-03-06 21:15:13.360509,10934731
2026-03-06 21:15:13.487221,10934746
2026-03-06 21:15:13.487285,10934760
2026-03-06 21:15:13.487342,10934774
2026-03-06 21:15:13.487426,10934788
2026-03-06 21:15:13.48747,10934802
2026-03-06 21:15:13.487523,10934816
2026-03-06 21:15:13.487565,10934830
2026-03-06 21:15:13.48759,10934844
2026-03-06 21:15:13.487627,10934858
2026-03-06 21:15:13.61365,10934873
2026-03-06 21:15:13.613687,10934887
2026-03-06 21:15:13.613719,10934901
2026-03-06 21:15:13.613746,10934915
2026-03-06 21:15:13.613773,10934929
2026-03-06 21:15:13.613807,10934943
2026-03-06 21:15:13.613835,10934957
2026-03-06 21:15:13.613865,10934971
2026-03-06 21:15:13.613893,10934985
2026-03-06 21:15:13.740597,10935000
2026-03-06 21:15:13.740633,10935014
2026-03-06 21:15:13.740653,10935028
2026-03-06 21:15:13.740679,10935042
2026-03-06 21:15:13.740705,10935056
2026-03-06 21:15:13.740723,10935070
2026-03-06 21:15:13.74075,10935084
2026-03-06 21:15:13.740764,10935098
2026-03-06 21:15:13.740789,10935112
2026-03-06 21:15:13.867907,10935127
2026-03-06 21:15:13.867954,10935141
2026-03-06 21:15:13.867984,10935155
2026-03-06 21:15:13.868018,10935169
2026-03-06 21:15:13.868053,10935183
2026-03-06 21:15:13.868076,10935197
2026-03-06 21:15:13.868111,10935211
2026-03-06 21:15:13.868144,10935225
2026-03-06 21:15:13.86818,10935239
2026-03-06 21:15:13.994814,10935254
2026-03-06 21:15:13.994838,10935268
2026-03-06 21:15:13.994851,10935282
2026-03-06 21:15:13.994866,10935296
2026-03-06 21:15:13.994879,10935310
2026-03-06 21:15:13.994892,10935324
2026-03-06 21:15:13.994907,10935338
2026-03-06 21:15:13.994924,10935352
2026-03-06 21:15:13.994933,10935366
2026-03-06 21:15:14.125899,10935385
2026-03-06 21:15:14.125974,10935399
2026-03-06 21:15:14.126043,10935413
2026-03-06 21:15:14.126114,10935427
2026-03-06 21:15:14.126189,10935441
2026-03-06 21:15:14.126234,10935455
2026-03-06 21:15:14.126279,10935469
2026-03-06 21:15:14.126297,10935483
2026-03-06 21:15:14.126313,10935497
2026-03-06 21:15:14.252783,10935512
2026-03-06 21:15:14.25289,10935526
2026-03-06 21:15:14.252954,10935540
2026-03-06 21:15:14.253015,10935554
2026-03-06 21:15:14.253072,10935568
2026-03-06 21:15:14.253136,10935582
2026-03-06 21:15:14.253181,10935596
2026-03-06 21:15:14.253229,10935610
2026-03-06 21:15:14.25327,10935624
2026-03-06 21:15:14.379934,10935639
2026-03-06 21:15:14.380015,10935653
2026-03-06 21:15:14.380069,10935667
2026-03-06 21:15:14.380143,10935681
2026-03-06 21:15:14.38021,10935695
2026-03-06 21:15:14.380239,10935709
2026-03-06 21:15:14.380279,10935723
2026-03-06 21:15:14.380308,10935737
2026-03-06 21:15:14.380322,10935751
2026-03-06 21:15:14.506582,10935766
2026-03-06 21:15:14.506656,10935780
2026-03-06 21:15:14.506728,10935794
2026-03-06 21:15:14.506796,10935808
2026-03-06 21:15:14.50686,10935822
2026-03-06 21:15:14.506927,10935836
2026-03-06 21:15:14.506997,10935850
2026-03-06 21:15:14.50704,10935864
2026-03-06 21:15:14.507061,10935878
2026-03-06 21:15:14.633987,10935893
2026-03-06 21:15:14.634037,10935907
2026-03-06 21:15:14.634062,10935921
2026-03-06 21:15:14.634098,10935935
2026-03-06 21:15:14.634118,10935949
2026-03-06 21:15:14.634156,10935963
2026-03-06 21:15:14.634185,10935977
2026-03-06 21:15:14.634218,10935991
2026-03-06 21:15:14.634237,10936005
