time,ACT.Fuel_Fill_Vent.actuator_state
2026-03-06 21:21:19.928731,0
2026-03-06 21:21:19.987973,1
2026-03-06 21:21:20.031265,0
2026-03-06 21:21:20.089965,1
2026-03-06 21:21:20.132866,0
2026-03-06 21:21:20.1918,1
2026-03-06 21:21:20.23509,0
2026-03-06 21:21:20.293857,1
2026-03-06 21:21:20.336936,1
2026-03-06 21:21:20.396378,1
2026-03-06 21:21:20.438776,0
2026-03-06 21:21:20.498006,1
2026-03-06 21:21:20.540863,1
2026-03-06 21:21:20.60015,1
2026-03-06 21:21:20.642824,0
2026-03-06 21:21:20.702066,1
2026-03-06 21:21:20.744748,0
2026-03-06 21:21:20.803909,1
2026-03-06 21:21:20.84687,0
2026-03-06 21:21:20.906015,1
2026-03-06 21:21:20.948939,0
2026-03-06 21:21:21.007863,1
2026-03-06 21:21:21.050868,0
2026-03-06 21:21:21.110516,1
2026-03-06 21:21:21.153272,0
2026-03-06 21:21:21.212253,1
2026-03-06 21:21:21.254654,0
2026-03-06 21:21:21.313906,1
2026-03-06 21:21:21.356815,0
2026-03-06 21:21:21.416219,1
2026-03-06 21:21:21.45916,0
2026-03-06 21:21:21.517791,1
2026-03-06 21:21:21.561354,0
2026-03-06 21:21:21.620163,1
2026-03-06 21:21:21.663219,1
2026-03-06 21:21:21.722231,1
2026-03-06 21:21:21.765184,0
2026-03-06 21:21:21.823854,1
2026-03-06 21:21:21.867273,0
2026-03-06 21:21:21.926098,1
2026-03-06 21:21:21.968953,0
2026-03-06 21:21:22.028016,1
2026-03-06 21:21:22.071333,1
2026-03-06 21:21:22.130136,1
2026-03-06 21:21:22.173255,0
2026-03-06 21:21:22.232152,1
2026-03-06 21:21:22.275089,0
2026-03-06 21:21:22.334237,1
2026-03-06 21:21:22.377105,0
2026-03-06 21:21:22.436259,1
2026-03-06 21:21:22.479088,0
2026-03-06 21:21:22.538345,1
2026-03-06 21:21:22.581173,1
2026-03-06 21:21:22.640107,1
2026-03-06 21:21:22.683071,0
2026-03-06 21:21:22.742059,1
2026-03-06 21:21:22.785102,0
2026-03-06 21:21:22.84427,1
2026-03-06 21:21:22.886739,0
2026-03-06 21:21:22.946058,1
2026-03-06 21:21:22.988734,0
2026-03-06 21:21:23.048058,1
2026-03-06 21:21:23.091191,0
2026-03-06 21:21:23.150298,1
2026-03-06 21:21:23.192782,0
2026-03-06 21:21:23.252043,1
2026-03-06 21:21:23.294983,0
2026-03-06 21:21:23.353712,1
2026-03-06 21:21:23.396912,0
2026-03-06 21:21:23.455965,1
2026-03-06 21:21:23.499048,0
2026-03-06 21:21:23.558278,1
2026-03-06 21:21:23.601118,0
2026-03-06 21:21:23.660213,1
2026-03-06 21:21:23.703028,0
2026-03-06 21:21:23.762251,1
2026-03-06 21:21:23.805254,0
2026-03-06 21:21:23.86453,1
2026-03-06 21:21:23.906638,0
2026-03-06 21:21:23.965827,1
2026-03-06 21:21:24.009125,1
2026-03-06 21:21:24.06848,1
2026-03-06 21:21:24.111098,0
2026-03-06 21:21:24.169984,1
2026-03-06 21:21:24.212961,1
2026-03-06 21:21:24.272027,1
2026-03-06 21:21:24.314661,1
2026-03-06 21:21:24.373963,1
2026-03-06 21:21:24.417031,0
2026-03-06 21:21:24.476022,1
2026-03-06 21:21:24.518784,1
2026-03-06 21:21:24.578106,1
2026-03-06 21:21:24.621162,0
2026-03-06 21:21:24.680376,1
2026-03-06 21:21:24.723232,1
2026-03-06 21:21:24.781852,1
2026-03-06 21:21:24.824702,1
2026-03-06 21:21:24.884009,1
2026-03-06 21:21:24.926882,0
2026-03-06 21:21:24.985956,1
2026-03-06 21:21:25.028963,1
2026-03-06 21:21:25.088305,1
2026-03-06 21:21:25.131399,1
2026-03-06 21:21:25.190147,1
2026-03-06 21:21:25.232884,0
2026-03-06 21:21:25.292122,1
2026-03-06 21:21:25.335053,0
2026-03-06 21:21:25.393921,1
2026-03-06 21:21:25.437325,1
2026-03-06 21:21:25.496445,1
2026-03-06 21:21:25.539176,0
2026-03-06 21:21:25.598079,1
2026-03-06 21:21:25.640986,0
2026-03-06 21:21:25.700424,1
2026-03-06 21:21:25.743201,1
2026-03-06 21:21:25.8023,1
2026-03-06 21:21:25.844921,0
2026-03-06 21:21:25.903914,1
2026-03-06 21:21:25.946978,1
2026-03-06 21:21:26.006139,1
2026-03-06 21:21:26.049423,0
2026-03-06 21:21:26.107991,1
2026-03-06 21:21:26.151101,0
2026-03-06 21:21:26.209878,1
2026-03-06 21:21:26.25269,0
2026-03-06 21:21:26.312347,1
2026-03-06 21:21:26.355083,0
2026-03-06 21:21:26.414261,1
2026-03-06 21:21:26.456868,0
2026-03-06 21:21:26.515971,1
2026-03-06 21:21:26.558707,0
2026-03-06 21:21:26.618105,1
2026-03-06 21:21:26.660967,0
2026-03-06 21:21:26.719905,1
