time,ACT.Fuel_Fill_Vent.sample_ts_ms
2026-03-06 21:30:59.349517,11880827
2026-03-06 21:30:59.351981,11880788
2026-03-06 21:30:59.451288,11880929
2026-03-06 21:30:59.453613,11880890
2026-03-06 21:30:59.553419,11881031
2026-03-06 21:30:59.555866,11880992
2026-03-06 21:30:59.655279,11881133
2026-03-06 21:30:59.657701,11881094
2026-03-06 21:30:59.757463,11881235
2026-03-06 21:30:59.760032,11881196
2026-03-06 21:30:59.858975,11881337
2026-03-06 21:30:59.862064,11881298
2026-03-06 21:30:59.961231,11881439
2026-03-06 21:30:59.963697,11881400
2026-03-06 21:31:00.063061,11881541
2026-03-06 21:31:00.066056,11881502
2026-03-06 21:31:00.16528,11881643
2026-03-06 21:31:00.16776,11881604
2026-03-06 21:31:00.266953,11881745
2026-03-06 21:31:00.270245,11881706
2026-03-06 21:31:00.369001,11881847
2026-03-06 21:31:00.371942,11881808
2026-03-06 21:31:00.471335,11881949
2026-03-06 21:31:00.473749,11881910
2026-03-06 21:31:00.573406,11882051
2026-03-06 21:31:00.575948,11882012
2026-03-06 21:31:00.675321,11882153
2026-03-06 21:31:00.678072,11882114
2026-03-06 21:31:00.777497,11882255
2026-03-06 21:31:00.779781,11882216
2026-03-06 21:31:00.879086,11882357
2026-03-06 21:31:00.882086,11882318
2026-03-06 21:31:00.981424,11882459
2026-03-06 21:31:00.983863,11882420
2026-03-06 21:31:01.083105,11882561
2026-03-06 21:31:01.08598,11882522
2026-03-06 21:31:01.185255,11882663
2026-03-06 21:31:01.188118,11882624
2026-03-06 21:31:01.287363,11882765
2026-03-06 21:31:01.289667,11882726
2026-03-06 21:31:01.389361,11882867
2026-03-06 21:31:01.391752,11882828
2026-03-06 21:31:01.491276,11882969
2026-03-06 21:31:01.493808,11882930
2026-03-06 21:31:01.593513,11883071
2026-03-06 21:31:01.595866,11883032
2026-03-06 21:31:01.695409,11883173
2026-03-06 21:31:01.697705,11883134
2026-03-06 21:31:01.796912,11883275
2026-03-06 21:31:01.799828,11883236
2026-03-06 21:31:01.899451,11883377
2026-03-06 21:31:01.901944,11883338
2026-03-06 21:31:02.001143,11883479
2026-03-06 21:31:02.003938,11883440
2026-03-06 21:31:02.102923,11883581
