time,ACT.LOX_Dump.sample_ts_ms
2026-03-06 21:21:18.050002,11299490
2026-03-06 21:21:18.093265,11299572
2026-03-06 21:21:18.151929,11299592
2026-03-06 21:21:18.195251,11299674
2026-03-06 21:21:18.25421,11299694
2026-03-06 21:21:18.297323,11299776
2026-03-06 21:21:18.355982,11299796
2026-03-06 21:21:18.399104,11299878
2026-03-06 21:21:18.458377,11299898
2026-03-06 21:21:18.501143,11299980
2026-03-06 21:21:18.56019,11300000
2026-03-06 21:21:18.602963,11300082
2026-03-06 21:21:18.6619,11300102
2026-03-06 21:21:18.705154,11300184
2026-03-06 21:21:18.764199,11300204
2026-03-06 21:21:18.807175,11300286
2026-03-06 21:21:18.865857,11300306
2026-03-06 21:21:18.909198,11300388
2026-03-06 21:21:18.96828,11300408
2026-03-06 21:21:19.011653,11300490
2026-03-06 21:21:19.070585,11300510
2026-03-06 21:21:19.113132,11300592
2026-03-06 21:21:19.172149,11300612
2026-03-06 21:21:19.215201,11300694
2026-03-06 21:21:19.274682,11300714
2026-03-06 21:21:19.317276,11300796
2026-03-06 21:21:19.376179,11300816
2026-03-06 21:21:19.4195,11300898
2026-03-06 21:21:19.477977,11300918
2026-03-06 21:21:19.521086,11301000
2026-03-06 21:21:19.58013,11301020
2026-03-06 21:21:19.623282,11301102
2026-03-06 21:21:19.682345,11301122
2026-03-06 21:21:19.725413,11301204
2026-03-06 21:21:19.78389,11301224
2026-03-06 21:21:19.827227,11301306
2026-03-06 21:21:19.886259,11301326
2026-03-06 21:21:19.928874,11301408
2026-03-06 21:21:19.988123,11301428
2026-03-06 21:21:20.031534,11301510
2026-03-06 21:21:20.090119,11301530
2026-03-06 21:21:20.133004,11301612
2026-03-06 21:21:20.191912,11301632
2026-03-06 21:21:20.235211,11301714
2026-03-06 21:21:20.29395,11301734
2026-03-06 21:21:20.337095,11301816
2026-03-06 21:21:20.396505,11301836
2026-03-06 21:21:20.438896,11301918
2026-03-06 21:21:20.498145,11301938
2026-03-06 21:21:20.541026,11302020
2026-03-06 21:21:20.600284,11302040
2026-03-06 21:21:20.642986,11302122
2026-03-06 21:21:20.702266,11302142
2026-03-06 21:21:20.744874,11302224
2026-03-06 21:21:20.803993,11302244
2026-03-06 21:21:20.846959,11302326
2026-03-06 21:21:20.906098,11302346
2026-03-06 21:21:20.949039,11302428
2026-03-06 21:21:21.007979,11302448
2026-03-06 21:21:21.050978,11302530
2026-03-06 21:21:21.110609,11302550
2026-03-06 21:21:21.153496,11302632
2026-03-06 21:21:21.212361,11302652
2026-03-06 21:21:21.254736,11302734
2026-03-06 21:21:21.314006,11302754
2026-03-06 21:21:21.356911,11302836
2026-03-06 21:21:21.416312,11302856
2026-03-06 21:21:21.459286,11302938
2026-03-06 21:21:21.517882,11302958
2026-03-06 21:21:21.561532,11303040
