time,ACT.LOX_Fill.sample_ts_ms
2026-03-06 21:34:48.650508,12110085
2026-03-06 21:34:48.725802,12110203
2026-03-06 21:34:48.752461,12110187
2026-03-06 21:34:48.827922,12110305
2026-03-06 21:34:48.854294,12110289
2026-03-06 21:34:48.929617,12110407
2026-03-06 21:34:48.956736,12110391
2026-03-06 21:34:49.032125,12110509
2026-03-06 21:34:49.058551,12110493
2026-03-06 21:34:49.133666,12110611
2026-03-06 21:34:49.161358,12110595
2026-03-06 21:34:49.236142,12110713
2026-03-06 21:34:49.262256,12110697
2026-03-06 21:34:49.337715,12110815
2026-03-06 21:34:49.364563,12110799
2026-03-06 21:34:49.440095,12110917
2026-03-06 21:34:49.466576,12110901
2026-03-06 21:34:49.542368,12111019
2026-03-06 21:34:49.568646,12111003
2026-03-06 21:34:49.64397,12111121
2026-03-06 21:34:49.67056,12111105
2026-03-06 21:34:49.745688,12111223
2026-03-06 21:34:49.77226,12111207
2026-03-06 21:34:49.847783,12111325
2026-03-06 21:34:49.874674,12111309
2026-03-06 21:34:49.949942,12111427
2026-03-06 21:34:49.976947,12111411
2026-03-06 21:34:50.051721,12111529
2026-03-06 21:34:50.078572,12111513
2026-03-06 21:34:50.153672,12111631
2026-03-06 21:34:50.180143,12111615
2026-03-06 21:34:50.255964,12111733
2026-03-06 21:34:50.282755,12111717
2026-03-06 21:34:50.358233,12111835
2026-03-06 21:34:50.384434,12111819
2026-03-06 21:34:50.460109,12111937
2026-03-06 21:34:50.487494,12111921
2026-03-06 21:34:50.561672,12112039
2026-03-06 21:34:50.588344,12112023
2026-03-06 21:34:50.663993,12112141
2026-03-06 21:34:50.690478,12112125
2026-03-06 21:34:50.76607,12112243
2026-03-06 21:34:50.792419,12112227
2026-03-06 21:34:50.868201,12112345
2026-03-06 21:34:50.894218,12112329
2026-03-06 21:34:50.96998,12112447
2026-03-06 21:34:50.996689,12112431
2026-03-06 21:34:51.071417,12112549
2026-03-06 21:34:51.098789,12112533
2026-03-06 21:34:51.174466,12112651
2026-03-06 21:34:51.20052,12112635
2026-03-06 21:34:51.275842,12112753
2026-03-06 21:34:51.30281,12112737
2026-03-06 21:34:51.377603,12112855
2026-03-06 21:34:51.404674,12112839
2026-03-06 21:34:51.48019,12112957
2026-03-06 21:34:51.506361,12112941
2026-03-06 21:34:51.582048,12113059
2026-03-06 21:34:51.608505,12113043
2026-03-06 21:34:51.68383,12113161
2026-03-06 21:34:51.710482,12113145
2026-03-06 21:34:51.785864,12113263
2026-03-06 21:34:51.812249,12113247
2026-03-06 21:34:51.88762,12113365
2026-03-06 21:34:51.914495,12113349
2026-03-06 21:34:51.98961,12113467
2026-03-06 21:34:52.016232,12113451
2026-03-06 21:34:52.092405,12113569
2026-03-06 21:34:52.118147,12113553
2026-03-06 21:34:52.194146,12113671
2026-03-06 21:34:52.220536,12113655
2026-03-06 21:34:52.296,12113773
2026-03-06 21:34:52.322197,12113757
2026-03-06 21:34:52.398053,12113875
2026-03-06 21:34:52.424472,12113859
2026-03-06 21:34:52.499957,12113977
2026-03-06 21:34:52.526374,12113961
2026-03-06 21:34:52.602444,12114079
2026-03-06 21:34:52.628649,12114063
2026-03-06 21:34:52.703528,12114181
2026-03-06 21:34:52.731195,12114165
2026-03-06 21:34:52.80553,12114283
2026-03-06 21:34:52.832446,12114267
2026-03-06 21:34:52.908119,12114385
2026-03-06 21:34:52.934419,12114369
2026-03-06 21:34:53.009623,12114487
2026-03-06 21:34:53.036646,12114471
2026-03-06 21:34:53.111988,12114589
2026-03-06 21:34:53.138746,12114573
2026-03-06 21:34:53.214261,12114691
2026-03-06 21:34:53.240615,12114675
2026-03-06 21:34:53.316008,12114793
2026-03-06 21:34:53.342687,12114777
2026-03-06 21:34:53.417819,12114895
2026-03-06 21:34:53.444732,12114879
2026-03-06 21:34:53.519866,12114997
2026-03-06 21:34:53.546361,12114981
2026-03-06 21:34:53.621942,12115099
2026-03-06 21:34:53.648607,12115083
2026-03-06 21:34:53.7237,12115201
2026-03-06 21:34:53.750662,12115185
2026-03-06 21:34:53.826018,12115303
2026-03-06 21:34:53.852351,12115287
2026-03-06 21:34:53.92779,12115405
2026-03-06 21:34:53.95443,12115389
2026-03-06 21:34:54.029962,12115507
2026-03-06 21:34:54.056563,12115491
2026-03-06 21:34:54.131709,12115609
2026-03-06 21:34:54.158267,12115593
2026-03-06 21:34:54.234195,12115711
2026-03-06 21:34:54.260441,12115695
2026-03-06 21:34:54.335529,12115813
2026-03-06 21:34:54.362591,12115797
2026-03-06 21:34:54.438072,12115915
2026-03-06 21:34:54.464393,12115899
2026-03-06 21:34:54.53986,12116017
2026-03-06 21:34:54.566535,12116001
2026-03-06 21:34:54.641812,12116119
2026-03-06 21:34:54.668642,12116103
2026-03-06 21:34:54.743738,12116221
2026-03-06 21:34:54.770119,12116205
2026-03-06 21:34:54.84602,12116323
2026-03-06 21:34:54.872303,12116307
2026-03-06 21:34:54.948083,12116425
2026-03-06 21:34:54.97444,12116409
2026-03-06 21:34:55.049589,12116527
2026-03-06 21:34:55.076566,12116511
2026-03-06 21:34:55.152078,12116629
2026-03-06 21:34:55.178309,12116613
2026-03-06 21:34:55.253866,12116731
2026-03-06 21:34:55.280568,12116715
2026-03-06 21:34:55.355708,12116833
2026-03-06 21:34:55.382521,12116817
2026-03-06 21:34:55.457912,12116935
2026-03-06 21:34:55.484745,12116919
2026-03-06 21:34:55.559659,12117037
2026-03-06 21:34:55.586654,12117021
2026-03-06 21:34:55.661747,12117139
2026-03-06 21:34:55.688784,12117123
2026-03-06 21:34:55.763972,12117241
2026-03-06 21:34:55.790623,12117225
2026-03-06 21:34:55.865902,12117343
2026-03-06 21:34:55.892498,12117327
2026-03-06 21:34:55.967698,12117445
2026-03-06 21:34:55.994373,12117429
2026-03-06 21:34:56.069733,12117547
2026-03-06 21:34:56.096394,12117531
2026-03-06 21:34:56.171686,12117649
2026-03-06 21:34:56.198639,12117633
2026-03-06 21:34:56.273862,12117751
2026-03-06 21:34:56.300492,12117735
2026-03-06 21:34:56.375922,12117853
2026-03-06 21:34:56.402398,12117837
2026-03-06 21:34:56.477986,12117955
2026-03-06 21:34:56.504412,12117939
2026-03-06 21:34:56.579841,12118057
2026-03-06 21:34:56.606128,12118041
2026-03-06 21:34:56.6815,12118159
2026-03-06 21:34:56.708754,12118143
2026-03-06 21:34:56.783773,12118261
2026-03-06 21:34:56.81052,12118245
2026-03-06 21:34:56.885864,12118363
2026-03-06 21:34:56.912234,12118347
2026-03-06 21:34:56.98789,12118465
2026-03-06 21:34:57.014219,12118449
2026-03-06 21:34:57.089983,12118567
2026-03-06 21:34:57.116458,12118551
2026-03-06 21:34:57.192003,12118669
2026-03-06 21:34:57.218272,12118653
2026-03-06 21:34:57.294068,12118771
2026-03-06 21:34:57.320598,12118755
2026-03-06 21:34:57.395794,12118873
2026-03-06 21:34:57.42238,12118857
2026-03-06 21:34:57.498152,12118975
2026-03-06 21:34:57.524661,12118959
2026-03-06 21:34:57.599981,12119077
2026-03-06 21:34:57.626441,12119061
2026-03-06 21:34:57.701596,12119179
2026-03-06 21:34:57.728344,12119163
2026-03-06 21:34:57.80364,12119281
2026-03-06 21:34:57.830414,12119265
2026-03-06 21:34:57.905723,12119383
2026-03-06 21:34:57.932623,12119367
2026-03-06 21:34:58.007847,12119485
2026-03-06 21:34:58.034588,12119469
2026-03-06 21:34:58.109642,12119587
2026-03-06 21:34:58.136568,12119571
2026-03-06 21:34:58.211357,12119689
2026-03-06 21:34:58.23796,12119673
2026-03-06 21:34:58.313959,12119791
2026-03-06 21:34:58.340593,12119775
2026-03-06 21:34:58.415913,12119893
2026-03-06 21:34:58.442706,12119877
2026-03-06 21:34:58.517798,12119995
2026-03-06 21:34:58.544735,12119979
2026-03-06 21:34:58.619708,12120097
2026-03-06 21:34:58.646388,12120081
2026-03-06 21:34:58.721861,12120199
2026-03-06 21:34:58.748425,12120183
2026-03-06 21:34:58.823858,12120301
2026-03-06 21:34:58.850677,12120285
2026-03-06 21:34:58.925787,12120403
2026-03-06 21:34:58.952746,12120387
2026-03-06 21:34:59.027983,12120505
2026-03-06 21:34:59.054443,12120489
2026-03-06 21:34:59.129945,12120607
2026-03-06 21:34:59.156518,12120591
2026-03-06 21:34:59.231729,12120709
2026-03-06 21:34:59.258379,12120693
2026-03-06 21:34:59.334194,12120811
2026-03-06 21:34:59.360244,12120795
2026-03-06 21:34:59.436041,12120913
2026-03-06 21:34:59.462482,12120897
2026-03-06 21:34:59.537984,12121015
2026-03-06 21:34:59.564353,12120999
2026-03-06 21:34:59.640083,12121117
2026-03-06 21:34:59.666482,12121101
2026-03-06 21:34:59.741803,12121219
2026-03-06 21:34:59.768444,12121203
2026-03-06 21:34:59.843959,12121321
2026-03-06 21:34:59.870291,12121305
2026-03-06 21:34:59.946157,12121423
2026-03-06 21:34:59.972771,12121407
2026-03-06 21:35:00.047487,12121525
2026-03-06 21:35:00.0743,12121509
2026-03-06 21:35:00.150038,12121627
2026-03-06 21:35:00.176686,12121611
2026-03-06 21:35:00.251669,12121729
2026-03-06 21:35:00.278532,12121713
2026-03-06 21:35:00.353957,12121831
2026-03-06 21:35:00.380344,12121815
2026-03-06 21:35:00.455957,12121933
2026-03-06 21:35:00.482652,12121917
2026-03-06 21:35:00.55798,12122035
2026-03-06 21:35:00.584528,12122019
2026-03-06 21:35:00.659799,12122137
2026-03-06 21:35:00.686287,12122121
2026-03-06 21:35:00.762047,12122239
2026-03-06 21:35:00.788484,12122223
2026-03-06 21:35:00.863562,12122341
