time,ACT.GSE_High_Press_Vent.status
2026-03-06 21:36:47.964383,0
2026-03-06 21:36:47.990797,0
2026-03-06 21:36:48.065675,0
2026-03-06 21:36:48.092996,0
2026-03-06 21:36:48.167793,0
2026-03-06 21:36:48.195141,0
2026-03-06 21:36:48.269949,0
2026-03-06 21:36:48.29713,0
2026-03-06 21:36:48.371803,0
2026-03-06 21:36:48.398924,0
2026-03-06 21:36:48.475646,0
2026-03-06 21:36:48.790181,0
2026-03-06 21:36:49.062198,0
2026-03-06 21:36:49.063526,0
2026-03-06 21:36:49.067093,0
2026-03-06 21:36:49.067858,0
2026-03-06 21:36:49.071621,0
2026-03-06 21:36:49.072788,0
2026-03-06 21:36:49.07735,0
2026-03-06 21:36:49.077872,0
2026-03-06 21:36:49.080114,0
2026-03-06 21:36:49.0821,0
2026-03-06 21:36:49.086746,0
2026-03-06 21:36:49.112884,0
2026-03-06 21:36:49.191376,0
2026-03-06 21:36:49.215039,0
2026-03-06 21:36:49.290014,0
2026-03-06 21:36:49.317219,0
2026-03-06 21:36:49.391841,0
2026-03-06 21:36:49.418842,0
2026-03-06 21:36:49.493725,0
2026-03-06 21:36:49.520895,0
2026-03-06 21:36:49.596211,0
2026-03-06 21:36:49.623173,0
2026-03-06 21:36:49.697904,0
2026-03-06 21:36:49.724833,0
2026-03-06 21:36:49.799857,0
2026-03-06 21:36:49.827033,0
2026-03-06 21:36:49.901869,0
2026-03-06 21:36:49.929297,0
2026-03-06 21:36:50.003838,0
2026-03-06 21:36:50.030899,0
2026-03-06 21:36:50.105746,0
2026-03-06 21:36:50.133981,0
2026-03-06 21:36:50.20773,0
2026-03-06 21:36:50.235222,0
2026-03-06 21:36:50.309775,0
2026-03-06 21:36:50.337269,0
2026-03-06 21:36:50.411957,0
2026-03-06 21:36:50.439126,0
2026-03-06 21:36:50.513707,0
2026-03-06 21:36:50.541123,0
2026-03-06 21:36:50.615696,0
2026-03-06 21:36:50.643003,0
2026-03-06 21:36:50.718204,0
2026-03-06 21:36:50.744904,0
2026-03-06 21:36:50.81968,0
2026-03-06 21:36:50.847278,0
2026-03-06 21:36:50.921719,0
2026-03-06 21:36:50.948866,0
