time,PT_Cal.Fuel_Upstream.raw_adc
2026-03-06 21:35:49.129182,259291804
2026-03-06 21:35:49.129203,259304614
2026-03-06 21:35:49.237599,258482717
2026-03-06 21:35:49.237941,258482717
2026-03-06 21:35:49.23798,259217636
2026-03-06 21:35:49.346886,258509013
2026-03-06 21:35:49.347239,258650603
2026-03-06 21:35:49.347409,258509013
2026-03-06 21:35:49.34772,258728814
2026-03-06 21:35:49.348415,258535308
2026-03-06 21:35:49.455677,258734207
2026-03-06 21:35:49.45637,258589247
2026-03-06 21:35:49.456371,258734207
2026-03-06 21:35:49.457,259387545
2026-03-06 21:35:49.457685,258697799
2026-03-06 21:35:49.564867,259253372
2026-03-06 21:35:49.565108,258694428
2026-03-06 21:35:49.565244,258598012
2026-03-06 21:35:49.56537,259253372
2026-03-06 21:35:49.673781,258677572
2026-03-06 21:35:49.674211,258528565
2026-03-06 21:35:49.674619,258677572
2026-03-06 21:35:49.674685,259264160
2026-03-06 21:35:49.675073,259205501
2026-03-06 21:35:49.782825,258747692
2026-03-06 21:35:49.783179,259273599
2026-03-06 21:35:49.783338,258747692
2026-03-06 21:35:49.78358,259225053
2026-03-06 21:35:49.891881,258731511
2026-03-06 21:35:49.892269,259134032
2026-03-06 21:35:49.89257,258731511
2026-03-06 21:35:49.892593,258589921
2026-03-06 21:35:50.001174,259299894
2026-03-06 21:35:50.001477,259129985
2026-03-06 21:35:50.001725,259260788
2026-03-06 21:35:50.001911,259299894
2026-03-06 21:35:50.109849,259357204
2026-03-06 21:35:50.110388,258582504
2026-03-06 21:35:50.110723,259357204
2026-03-06 21:35:50.111036,258676223
2026-03-06 21:35:50.11157,259193364
2026-03-06 21:35:50.219358,258550815
2026-03-06 21:35:50.219685,259347765
2026-03-06 21:35:50.219862,259278319
2026-03-06 21:35:50.220029,258550815
2026-03-06 21:35:50.220181,259151562
2026-03-06 21:35:50.328276,259204153
2026-03-06 21:35:50.328679,258775336
2026-03-06 21:35:50.328995,259174486
2026-03-06 21:35:50.329088,259204153
2026-03-06 21:35:50.329206,258552163
2026-03-06 21:35:50.437749,258715329
2026-03-06 21:35:50.438048,258715329
2026-03-06 21:35:50.438167,259140774
2026-03-06 21:35:50.438667,259125267
2026-03-06 21:35:50.439138,258740951
2026-03-06 21:35:50.439646,259260114
2026-03-06 21:35:50.440195,258595314
2026-03-06 21:35:50.440767,258627678
2026-03-06 21:35:50.545692,258563625
2026-03-06 21:35:50.545864,258563625
2026-03-06 21:35:50.545997,259295849
2026-03-06 21:35:50.546372,258556883
2026-03-06 21:35:50.654764,258647905
2026-03-06 21:35:50.655411,258647905
2026-03-06 21:35:50.655467,258355960
2026-03-06 21:35:50.65623,259105040
2026-03-06 21:35:50.656971,259280342
2026-03-06 21:35:50.764323,259378106
2026-03-06 21:35:50.764668,259408447
2026-03-06 21:35:50.764934,259378106
2026-03-06 21:35:50.764969,258680268
2026-03-06 21:35:50.765394,259425977
2026-03-06 21:35:50.872976,258662065
2026-03-06 21:35:50.873263,258511709
2026-03-06 21:35:50.873449,258666110
2026-03-06 21:35:50.873537,258662065
2026-03-06 21:35:50.87374,258704542
2026-03-06 21:35:50.874104,258484739
2026-03-06 21:35:50.982069,259427999
2026-03-06 21:35:50.982511,259427999
2026-03-06 21:35:50.98287,259321469
2026-03-06 21:35:50.983728,259148865
2026-03-06 21:35:51.091278,259147516
2026-03-06 21:35:51.091325,259147516
2026-03-06 21:35:51.091643,258348543
2026-03-06 21:35:51.091914,259257417
2026-03-06 21:35:51.09226,259253372
2026-03-06 21:35:51.199977,259355856
2026-03-06 21:35:51.200248,259306637
2026-03-06 21:35:51.200491,259355856
2026-03-06 21:35:51.200817,258785450
2026-03-06 21:35:51.308779,258593292
2026-03-06 21:35:51.309136,258659368
2026-03-06 21:35:51.309219,258593292
2026-03-06 21:35:51.417697,258726791
2026-03-06 21:35:51.418073,258648580
2026-03-06 21:35:51.418336,258726791
2026-03-06 21:35:51.418402,259296522
2026-03-06 21:35:51.526978,258533285
2026-03-06 21:35:51.527354,258658019
2026-03-06 21:35:51.527626,259294500
2026-03-06 21:35:51.527665,258533285
2026-03-06 21:35:51.635815,259689604
2026-03-06 21:35:51.636226,259312704
2026-03-06 21:35:51.636429,259689604
2026-03-06 21:35:51.63649,259175161
2026-03-06 21:35:51.636833,258746344
2026-03-06 21:35:51.745239,259213591
2026-03-06 21:35:51.745521,259080093
2026-03-06 21:35:51.745664,259953232
2026-03-06 21:35:51.745779,259213591
2026-03-06 21:35:51.746175,259206849
2026-03-06 21:35:51.854288,258500921
2026-03-06 21:35:51.854625,259247303
2026-03-06 21:35:51.854964,259262137
2026-03-06 21:35:51.854965,258500921
2026-03-06 21:35:51.855453,259086160
2026-03-06 21:35:51.962611,259222356
2026-03-06 21:35:51.962825,259222356
2026-03-06 21:35:51.962895,259271577
2026-03-06 21:35:51.963142,258701845
2026-03-06 21:35:51.963612,259113130
2026-03-06 21:35:52.071466,259174486
2026-03-06 21:35:52.072108,259320121
2026-03-06 21:35:52.072673,259188644
2026-03-06 21:35:52.073334,258633746
2026-03-06 21:35:52.073594,259174486
2026-03-06 21:35:52.181134,258738927
2026-03-06 21:35:52.181398,258697799
2026-03-06 21:35:52.181697,258738927
2026-03-06 21:35:52.182179,259282364
2026-03-06 21:35:52.1823,259188644
2026-03-06 21:35:52.290073,259173137
2026-03-06 21:35:52.29027,259173137
2026-03-06 21:35:52.29053,258618239
2026-03-06 21:35:52.291235,259262137
2026-03-06 21:35:52.39908,259327538
2026-03-06 21:35:52.399278,259327538
2026-03-06 21:35:52.399477,259262137
2026-03-06 21:35:52.399768,258555535
2026-03-06 21:35:52.400069,258652625
2026-03-06 21:35:52.507371,259208198
2026-03-06 21:35:52.507724,258651951
2026-03-06 21:35:52.507834,259208198
2026-03-06 21:35:52.508129,258725442
2026-03-06 21:35:52.616469,258529240
2026-03-06 21:35:52.616973,258529240
2026-03-06 21:35:52.617557,258673526
2026-03-06 21:35:52.618322,258771966
2026-03-06 21:35:52.619591,259249326
2026-03-06 21:35:52.726326,258660041
2026-03-06 21:35:52.726389,258660041
2026-03-06 21:35:52.72772,258583179
2026-03-06 21:35:52.728459,258788821
2026-03-06 21:35:52.835082,258492156
2026-03-06 21:35:52.835493,259338999
2026-03-06 21:35:52.835716,258492156
2026-03-06 21:35:52.835754,258432824
2026-03-06 21:35:52.83605,258655996
2026-03-06 21:35:52.836768,259175834
2026-03-06 21:35:52.944224,258541375
2026-03-06 21:35:52.944629,258730837
2026-03-06 21:35:52.944991,258541375
2026-03-06 21:35:52.945069,259259440
2026-03-06 21:35:52.945778,258451027
2026-03-06 21:35:52.946374,259202804
2026-03-06 21:35:53.053211,258697799
2026-03-06 21:35:53.053473,258749041
2026-03-06 21:35:53.053734,259392265
2026-03-06 21:35:53.053835,258697799
2026-03-06 21:35:53.053996,259302591
2026-03-06 21:35:53.162682,258806351
2026-03-06 21:35:53.163091,259247978
2026-03-06 21:35:53.163442,258617564
2026-03-06 21:35:53.163757,258566997
2026-03-06 21:35:53.164106,258456422
2026-03-06 21:35:53.165454,258806351
2026-03-06 21:35:53.270756,258540027
2026-03-06 21:35:53.271139,258693753
2026-03-06 21:35:53.271712,258540027
2026-03-06 21:35:53.271787,259189319
2026-03-06 21:35:53.380061,258591269
2026-03-06 21:35:53.380387,258500248
2026-03-06 21:35:53.380659,258548118
2026-03-06 21:35:53.380735,258591269
2026-03-06 21:35:53.381034,258766571
2026-03-06 21:35:53.381468,258598012
2026-03-06 21:35:53.488778,258562952
2026-03-06 21:35:53.489131,259252023
2026-03-06 21:35:53.489595,258562952
2026-03-06 21:35:53.489877,259242583
2026-03-06 21:35:53.490431,259128637
2026-03-06 21:35:53.597808,259235841
2026-03-06 21:35:53.598456,259235841
2026-03-06 21:35:53.598957,258610822
2026-03-06 21:35:53.599469,259828497
2026-03-06 21:35:53.599953,259276970
2026-03-06 21:35:53.707213,259258092
2026-03-06 21:35:53.707556,258985025
2026-03-06 21:35:53.707631,259258092
2026-03-06 21:35:53.707827,259201456
2026-03-06 21:35:53.815618,259290455
2026-03-06 21:35:53.815861,258611496
2026-03-06 21:35:53.816078,259290455
2026-03-06 21:35:53.816242,258740276
2026-03-06 21:35:53.816592,259162349
2026-03-06 21:35:53.92496,259072676
2026-03-06 21:35:53.92539,259115827
2026-03-06 21:35:53.925685,259192016
2026-03-06 21:35:53.925787,259072676
2026-03-06 21:35:53.926068,259211569
2026-03-06 21:35:53.926547,258293255
2026-03-06 21:35:54.0335,258619587
2026-03-06 21:35:54.03368,258619587
2026-03-06 21:35:54.033764,258587224
2026-03-06 21:35:54.034206,258633073
2026-03-06 21:35:54.034534,258540702
2026-03-06 21:35:54.142999,258609474
2026-03-06 21:35:54.143266,258591269
2026-03-06 21:35:54.143553,258705215
2026-03-06 21:35:54.143554,258609474
2026-03-06 21:35:54.14382,258624981
2026-03-06 21:35:54.144093,258697125
2026-03-06 21:35:54.144368,258682292
2026-03-06 21:35:54.251602,258671503
2026-03-06 21:35:54.251715,258671503
2026-03-06 21:35:54.251812,259303265
2026-03-06 21:35:54.25201,258721397
2026-03-06 21:35:54.252334,258659368
2026-03-06 21:35:54.252648,258658019
2026-03-06 21:35:54.361286,258713980
2026-03-06 21:35:54.361557,258713980
2026-03-06 21:35:54.361562,258649928
2026-03-06 21:35:54.361865,258868382
2026-03-06 21:35:54.362168,258704542
2026-03-06 21:35:54.469998,258459792
2026-03-06 21:35:54.470134,258459792
2026-03-06 21:35:54.470368,259117175
2026-03-06 21:35:54.470661,258463838
2026-03-06 21:35:54.470976,259221008
2026-03-06 21:35:54.57903,259283039
2026-03-06 21:35:54.579299,258320899
2026-03-06 21:35:54.579593,258542050
2026-03-06 21:35:54.579621,259283039
2026-03-06 21:35:54.580152,258613519
2026-03-06 21:35:54.580679,258711958
2026-03-06 21:35:54.688242,259260114
2026-03-06 21:35:54.688522,258606102
2026-03-06 21:35:54.688801,258744321
2026-03-06 21:35:54.688841,259260114
2026-03-06 21:35:54.689149,259109085
2026-03-06 21:35:54.796992,259214266
2026-03-06 21:35:54.797351,259195387
2026-03-06 21:35:54.797684,258564300
2026-03-06 21:35:54.797804,259214266
2026-03-06 21:35:54.798107,258717352
2026-03-06 21:35:54.906156,258482717
2026-03-06 21:35:54.906501,258560254
2026-03-06 21:35:54.906606,258482717
2026-03-06 21:35:54.90679,258585875
