time,ACT.GSE_High_Press_Control.timestamp_ns
2026-03-06 21:17:08.191725,1772831828191451270
2026-03-06 21:17:08.191756,1772831828191451270
2026-03-06 21:17:08.249634,1772831828249405875
2026-03-06 21:17:08.24966,1772831828249405875
2026-03-06 21:17:08.293479,1772831828293239557
2026-03-06 21:17:08.293508,1772831828293239557
2026-03-06 21:17:08.351922,1772831828351681814
2026-03-06 21:17:08.351947,1772831828351681814
2026-03-06 21:17:08.395809,1772831828395443790
2026-03-06 21:17:08.395838,1772831828395443790
2026-03-06 21:17:08.453594,1772831828453265866
2026-03-06 21:17:08.453613,1772831828453265866
2026-03-06 21:17:08.497861,1772831828497530880
2026-03-06 21:17:08.497891,1772831828497530880
2026-03-06 21:17:08.556355,1772831828555552136
2026-03-06 21:17:08.556389,1772831828555552136
2026-03-06 21:17:08.600089,1772831828599732814
2026-03-06 21:17:08.600119,1772831828599732814
2026-03-06 21:17:08.657965,1772831828657714384
2026-03-06 21:17:08.657987,1772831828657714384
2026-03-06 21:17:08.70196,1772831828701746179
2026-03-06 21:17:08.701981,1772831828701746179
2026-03-06 21:17:08.759922,1772831828759565213
2026-03-06 21:17:08.759966,1772831828759565213
2026-03-06 21:17:08.803859,1772831828803675405
2026-03-06 21:17:08.803884,1772831828803675405
2026-03-06 21:17:08.861692,1772831828861257474
2026-03-06 21:17:08.861732,1772831828861257474
2026-03-06 21:17:08.905749,1772831828905474166
2026-03-06 21:17:08.905777,1772831828905474166
2026-03-06 21:17:08.963667,1772831828963417203
2026-03-06 21:17:08.963703,1772831828963417203
2026-03-06 21:17:09.008062,1772831829007623893
2026-03-06 21:17:09.008094,1772831829007623893
2026-03-06 21:17:09.065678,1772831829065436021
2026-03-06 21:17:09.065715,1772831829065436021
2026-03-06 21:17:09.109895,1772831829109708818
2026-03-06 21:17:09.109927,1772831829109708818
2026-03-06 21:17:09.168386,1772831829168316335
2026-03-06 21:17:09.168395,1772831829168316335
2026-03-06 21:17:09.21197,1772831829211778737
2026-03-06 21:17:09.211985,1772831829211778737
2026-03-06 21:17:09.270007,1772831829269637003
2026-03-06 21:17:09.27004,1772831829269637003
2026-03-06 21:17:09.313696,1772831829313558134
2026-03-06 21:17:09.313709,1772831829313558134
2026-03-06 21:17:09.371784,1772831829371540545
2026-03-06 21:17:09.371806,1772831829371540545
2026-03-06 21:17:09.41595,1772831829415695690
2026-03-06 21:17:09.415977,1772831829415695690
2026-03-06 21:17:09.473687,1772831829473479843
2026-03-06 21:17:09.473701,1772831829473479843
2026-03-06 21:17:09.517791,1772831829517492191
2026-03-06 21:17:09.517822,1772831829517492191
2026-03-06 21:17:09.57559,1772831829575290746
2026-03-06 21:17:09.575625,1772831829575290746
2026-03-06 21:17:09.620193,1772831829619832373
2026-03-06 21:17:09.620229,1772831829619832373
2026-03-06 21:17:09.678088,1772831829677720187
2026-03-06 21:17:09.678121,1772831829677720187
