time,PT_Cal.GSE_High.cal_status
2026-03-06 21:15:38.389702,1
2026-03-06 21:15:38.389738,1
2026-03-06 21:15:38.389776,1
2026-03-06 21:15:38.389801,0
2026-03-06 21:15:38.489033,1
2026-03-06 21:15:38.489089,1
2026-03-06 21:15:38.489106,1
2026-03-06 21:15:38.489152,1
2026-03-06 21:15:38.489202,1
2026-03-06 21:15:38.489243,1
2026-03-06 21:15:38.489282,1
2026-03-06 21:15:38.489331,1
2026-03-06 21:15:38.589197,1
2026-03-06 21:15:38.589249,1
2026-03-06 21:15:38.589264,1
2026-03-06 21:15:38.58932,1
2026-03-06 21:15:38.589373,0
2026-03-06 21:15:38.589417,1
2026-03-06 21:15:38.589586,1
2026-03-06 21:15:38.589625,1
2026-03-06 21:15:38.689266,1
2026-03-06 21:15:38.689377,1
2026-03-06 21:15:38.689461,1
2026-03-06 21:15:38.689591,1
2026-03-06 21:15:38.689748,1
2026-03-06 21:15:38.689749,0
2026-03-06 21:15:38.68999,1
2026-03-06 21:15:38.789059,1
2026-03-06 21:15:38.789169,1
2026-03-06 21:15:38.789235,1
2026-03-06 21:15:38.789306,1
2026-03-06 21:15:38.789411,1
2026-03-06 21:15:38.789538,1
2026-03-06 21:15:38.789645,1
2026-03-06 21:15:38.78974,1
2026-03-06 21:15:38.789744,0
2026-03-06 21:15:38.889176,1
2026-03-06 21:15:38.889542,1
2026-03-06 21:15:38.889947,1
2026-03-06 21:15:38.890127,1
2026-03-06 21:15:38.890393,1
2026-03-06 21:15:38.890417,0
2026-03-06 21:15:38.890733,1
2026-03-06 21:15:38.890878,1
2026-03-06 21:15:38.891026,1
2026-03-06 21:15:38.89119,1
2026-03-06 21:15:38.9902,1
2026-03-06 21:15:38.990262,1
2026-03-06 21:15:38.990292,1
2026-03-06 21:15:38.990333,1
2026-03-06 21:15:38.990383,1
2026-03-06 21:15:38.9905,0
2026-03-06 21:15:38.990588,1
2026-03-06 21:15:38.99064,1
2026-03-06 21:15:39.0901,1
2026-03-06 21:15:39.090141,1
2026-03-06 21:15:39.090156,1
2026-03-06 21:15:39.090193,1
2026-03-06 21:15:39.090219,1
2026-03-06 21:15:39.090243,1
2026-03-06 21:15:39.090267,1
2026-03-06 21:15:39.090292,1
2026-03-06 21:15:39.090315,1
2026-03-06 21:15:39.090856,0
2026-03-06 21:15:39.190704,1
2026-03-06 21:15:39.190785,1
2026-03-06 21:15:39.190826,1
2026-03-06 21:15:39.190876,1
2026-03-06 21:15:39.190882,0
2026-03-06 21:15:39.190923,1
2026-03-06 21:15:39.19098,1
2026-03-06 21:15:39.191037,1
2026-03-06 21:15:39.191134,1
2026-03-06 21:15:39.2946,1
2026-03-06 21:15:39.29469,1
2026-03-06 21:15:39.294727,1
2026-03-06 21:15:39.294781,1
2026-03-06 21:15:39.294793,0
2026-03-06 21:15:39.294819,1
2026-03-06 21:15:39.294893,1
