time,ACT.GN2_Vent.sample_ts_ms
2026-03-06 21:20:00.121412,11221562
2026-03-06 21:20:00.164892,11221644
2026-03-06 21:20:00.223656,11221664
2026-03-06 21:20:00.266847,11221746
2026-03-06 21:20:00.325716,11221766
2026-03-06 21:20:00.368943,11221848
2026-03-06 21:20:00.427548,11221868
2026-03-06 21:20:00.470539,11221950
2026-03-06 21:20:00.529458,11221970
2026-03-06 21:20:00.573068,11222052
2026-03-06 21:20:00.631409,11222072
2026-03-06 21:20:00.6751,11222154
2026-03-06 21:20:00.733587,11222174
2026-03-06 21:20:00.776447,11222256
2026-03-06 21:20:00.835273,11222276
2026-03-06 21:20:00.878844,11222358
2026-03-06 21:20:00.937462,11222378
2026-03-06 21:20:00.980892,11222460
2026-03-06 21:20:01.03951,11222480
2026-03-06 21:20:01.083152,11222562
2026-03-06 21:20:01.141265,11222582
2026-03-06 21:20:01.184737,11222664
2026-03-06 21:20:01.243623,11222684
2026-03-06 21:20:01.286853,11222766
2026-03-06 21:20:01.345545,11222786
2026-03-06 21:20:01.388821,11222868
2026-03-06 21:20:01.447353,11222888
2026-03-06 21:20:01.490792,11222970
2026-03-06 21:20:01.549357,11222990
2026-03-06 21:20:01.592504,11223072
2026-03-06 21:20:01.651368,11223092
2026-03-06 21:20:01.694454,11223174
2026-03-06 21:20:01.753205,11223194
2026-03-06 21:20:01.796702,11223276
2026-03-06 21:20:01.855891,11223296
2026-03-06 21:20:01.898566,11223378
2026-03-06 21:20:01.957429,11223398
2026-03-06 21:20:02.000724,11223480
2026-03-06 21:20:02.059081,11223500
2026-03-06 21:20:02.102431,11223582
2026-03-06 21:20:02.161316,11223602
2026-03-06 21:20:02.204569,11223684
2026-03-06 21:20:02.263419,11223704
2026-03-06 21:20:02.306471,11223786
2026-03-06 21:20:02.365746,11223806
2026-03-06 21:20:02.408997,11223888
2026-03-06 21:20:02.46742,11223908
2026-03-06 21:20:02.510493,11223990
2026-03-06 21:20:02.569415,11224010
2026-03-06 21:20:02.61276,11224092
2026-03-06 21:20:02.671508,11224112
2026-03-06 21:20:02.714616,11224194
2026-03-06 21:20:02.77353,11224214
2026-03-06 21:20:02.817074,11224296
2026-03-06 21:20:02.875849,11224316
2026-03-06 21:20:02.918654,11224398
2026-03-06 21:20:02.977187,11224418
2026-03-06 21:20:03.020626,11224500
2026-03-06 21:20:03.079702,11224520
2026-03-06 21:20:03.122977,11224602
2026-03-06 21:20:03.181256,11224622
2026-03-06 21:20:03.224937,11224704
