time,PT_Cal.Ox_Upstream.raw_adc
2026-03-06 21:26:23.408103,220612753
2026-03-06 21:26:23.408282,219875809
2026-03-06 21:26:23.408435,220536564
2026-03-06 21:26:23.408627,220499481
2026-03-06 21:26:23.408769,220477231
2026-03-06 21:26:23.516879,220559487
2026-03-06 21:26:23.516939,220566904
2026-03-06 21:26:23.516962,220557465
2026-03-06 21:26:23.516987,220001219
2026-03-06 21:26:23.517014,219932446
2026-03-06 21:26:23.517054,220107074
2026-03-06 21:26:23.517837,220559487
2026-03-06 21:26:23.625479,220560837
2026-03-06 21:26:23.625538,219910196
2026-03-06 21:26:23.625574,219954695
2026-03-06 21:26:23.625678,220618821
2026-03-06 21:26:23.626102,220560837
2026-03-06 21:26:23.735152,220537912
2026-03-06 21:26:23.735218,220535890
2026-03-06 21:26:23.73528,220490716
2026-03-06 21:26:23.735359,220029536
2026-03-06 21:26:23.735652,220537912
2026-03-06 21:26:23.844077,220639048
2026-03-06 21:26:23.844146,219870416
2026-03-06 21:26:23.844198,220639048
2026-03-06 21:26:23.844258,220416549
2026-03-06 21:26:23.844402,220465094
2026-03-06 21:26:23.844561,220576344
2026-03-06 21:26:23.844732,220614776
2026-03-06 21:26:23.844891,219763213
2026-03-06 21:26:23.845117,219951998
2026-03-06 21:26:23.952826,219867044
2026-03-06 21:26:23.952864,219997847
2026-03-06 21:26:23.952938,219944582
2026-03-06 21:26:23.953019,220452958
2026-03-06 21:26:23.953109,220336989
2026-03-06 21:26:23.953202,219867044
2026-03-06 21:26:24.062282,220459026
2026-03-06 21:26:24.062353,220336315
2026-03-06 21:26:24.062416,220553420
2026-03-06 21:26:24.062512,220580389
2026-03-06 21:26:24.062619,220486670
2026-03-06 21:26:24.06272,220932342
2026-03-06 21:26:24.062864,220459026
2026-03-06 21:26:24.171056,220009309
2026-03-06 21:26:24.171134,220434079
2026-03-06 21:26:24.17135,220612753
2026-03-06 21:26:24.171426,220525777
2026-03-06 21:26:24.171698,220009309
2026-03-06 21:26:24.17177,220399019
2026-03-06 21:26:24.171817,220397670
2026-03-06 21:26:24.171891,221238447
2026-03-06 21:26:24.172012,220437451
