time,PT_Cal.GSE_High.raw_adc
2026-03-06 21:18:10.026918,570880174
2026-03-06 21:18:10.027003,570881522
2026-03-06 21:18:10.12611,570789837
2026-03-06 21:18:10.126193,570582196
2026-03-06 21:18:10.126264,570842421
2026-03-06 21:18:10.126336,570645567
2026-03-06 21:18:10.126403,570714330
2026-03-06 21:18:10.126463,570814781
2026-03-06 21:18:10.126923,570814781
2026-03-06 21:18:10.226173,570789162
2026-03-06 21:18:10.226259,570810734
2026-03-06 21:18:10.226289,570679274
2026-03-06 21:18:10.226328,570754105
2026-03-06 21:18:10.226391,570867365
2026-03-06 21:18:10.226429,570704892
2026-03-06 21:18:10.2269,570810734
2026-03-06 21:18:10.326473,570659050
2026-03-06 21:18:10.326536,570769610
2026-03-06 21:18:10.326567,570845791
2026-03-06 21:18:10.326641,570677926
2026-03-06 21:18:10.326691,570706241
2026-03-06 21:18:10.326742,570754780
2026-03-06 21:18:10.326791,570921971
2026-03-06 21:18:10.327557,570677926
2026-03-06 21:18:10.426203,570614556
2026-03-06 21:18:10.426255,570734555
2026-03-06 21:18:10.426278,570896353
2026-03-06 21:18:10.426313,570910510
2026-03-06 21:18:10.426368,570870061
2026-03-06 21:18:10.426417,570850511
2026-03-06 21:18:10.426458,570735905
2026-03-06 21:18:10.426518,570913207
2026-03-06 21:18:10.525927,570824218
2026-03-06 21:18:10.525979,570882195
2026-03-06 21:18:10.526002,570909835
2026-03-06 21:18:10.526031,570824218
2026-03-06 21:18:10.526163,570679949
2026-03-06 21:18:10.526194,570646241
2026-03-06 21:18:10.526407,570758151
2026-03-06 21:18:10.526474,570711634
2026-03-06 21:18:10.62583,570647589
2026-03-06 21:18:10.62592,570648264
2026-03-06 21:18:10.625942,570760174
2026-03-06 21:18:10.625969,570765566
2026-03-06 21:18:10.625991,570992083
2026-03-06 21:18:10.626036,570661073
2026-03-06 21:18:10.626041,570648264
2026-03-06 21:18:10.626393,570965118
2026-03-06 21:18:10.62644,570860622
2026-03-06 21:18:10.727304,570683994
2026-03-06 21:18:10.727406,570694781
2026-03-06 21:18:10.727464,570967814
2026-03-06 21:18:10.72758,570809387
2026-03-06 21:18:10.727673,570677926
2026-03-06 21:18:10.727739,570807365
2026-03-06 21:18:10.72781,570705566
2026-03-06 21:18:10.728316,570683994
2026-03-06 21:18:10.826852,570918599
2026-03-06 21:18:10.826922,570791859
2026-03-06 21:18:10.827036,570722421
2026-03-06 21:18:10.827261,570688713
2026-03-06 21:18:10.827295,570955005
2026-03-06 21:18:10.827615,570677253
2026-03-06 21:18:10.927082,570626690
2026-03-06 21:18:10.927153,570645567
2026-03-06 21:18:10.927191,570791185
2026-03-06 21:18:10.927229,570617252
2026-03-06 21:18:10.927359,570626690
2026-03-06 21:18:10.927383,570808038
2026-03-06 21:18:11.031185,570790510
2026-03-06 21:18:11.031277,570872758
2026-03-06 21:18:11.03139,570678601
2026-03-06 21:18:11.031462,570790510
2026-03-06 21:18:11.03149,570798601
2026-03-06 21:18:11.031573,570585566
2026-03-06 21:18:11.031656,570853881
2026-03-06 21:18:11.031733,570718377
2026-03-06 21:18:11.131529,570658376
2026-03-06 21:18:11.131634,570758825
2026-03-06 21:18:11.131713,571041971
2026-03-06 21:18:11.13183,570863319
2026-03-06 21:18:11.131925,570801971
2026-03-06 21:18:11.131978,570658376
2026-03-06 21:18:11.132047,570913207
2026-03-06 21:18:11.132206,570869386
2026-03-06 21:18:11.231067,570792533
2026-03-06 21:18:11.231193,570719050
2026-03-06 21:18:11.231251,570669162
2026-03-06 21:18:11.231358,570635454
2026-03-06 21:18:11.231449,570923319
2026-03-06 21:18:11.232062,570669162
2026-03-06 21:18:11.330509,571085116
2026-03-06 21:18:11.330546,570741297
2026-03-06 21:18:11.330577,570985342
2026-03-06 21:18:11.330614,570810062
2026-03-06 21:18:11.330659,570868713
2026-03-06 21:18:11.431404,570633432
2026-03-06 21:18:11.431466,570839050
2026-03-06 21:18:11.431498,570655678
2026-03-06 21:18:11.431533,570884218
2026-03-06 21:18:11.431608,570701522
2026-03-06 21:18:11.431652,570993431
2026-03-06 21:18:11.431686,570677253
2026-03-06 21:18:11.431807,570633432
2026-03-06 21:18:11.53071,570788488
2026-03-06 21:18:11.5308,570810062
2026-03-06 21:18:11.530859,570719050
2026-03-06 21:18:11.530929,570917251
2026-03-06 21:18:11.531025,570831634
2026-03-06 21:18:11.632879,570849837
2026-03-06 21:18:11.632982,570878150
2026-03-06 21:18:11.633047,570849837
2026-03-06 21:18:11.633099,570659050
2026-03-06 21:18:11.633306,570671858
2026-03-06 21:18:11.633387,570652309
2026-03-06 21:18:11.633463,570881522
2026-03-06 21:18:11.633537,570678601
2026-03-06 21:18:11.63361,570809387
2026-03-06 21:18:11.732403,570681970
2026-03-06 21:18:11.732481,570792533
2026-03-06 21:18:11.732522,570863994
2026-03-06 21:18:11.73259,570765566
2026-03-06 21:18:11.732668,570825567
2026-03-06 21:18:11.732737,570892982
2026-03-06 21:18:11.73311,570928713
2026-03-06 21:18:11.733129,570765566
2026-03-06 21:18:11.733543,570824893
2026-03-06 21:18:11.832063,570754780
2026-03-06 21:18:11.832181,570657028
2026-03-06 21:18:11.832309,570687365
2026-03-06 21:18:11.83242,570780398
2026-03-06 21:18:11.832549,570748038
2026-03-06 21:18:11.833655,570748038
2026-03-06 21:18:11.932252,570768938
2026-03-06 21:18:11.932314,570764218
2026-03-06 21:18:11.932356,570526241
